
,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website,lat,lon
33,Mt. Hood Meadows,https://www.skiresort.info/ski-resort/mt-hood-meadows/,129.0,Government Camp,Oregon,90.0,13.5,45.0,31.5,,,,,
34,Stratton,https://www.skiresort.info/ski-resort/stratton/,125.0,Stratton,Vermont,92.0,60.0,20.0,12.0,,,,,
35,Wenatchee – Mission Ridge,https://www.skiresort.info/ski-resort/wenatchee-mission-ridge/,74.0,Wenatchee,Washington State,100.0,10.0,60.0,30.0,,,,,
36,Taos,https://www.skiresort.info/ski-resort/taos/,128.0,Taos Ski Valley,New Mexico,113.0,27.0,28.0,58.0,,,,,
37,Mt. Rose,https://www.skiresort.info/ski-resort/mt-rose/,145.0,Reno,Lake Tahoe,100.0,20.0,30.0,50.0,,,,,
38,Aspen Mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,199.0,Aspen,Aspen Snowmass,103.0,0.0,49.0,54.0,"[-106.82188128782913, 39.170930057697404]",Colorado,http://www.aspensnowmass.com,-106.82188128782913,39.170930057697404
39,Sugar Bowl,https://www.skiresort.info/ski-resort/sugar-bowl/,125.0,Truckee,Lake Tahoe,90.0,15.3,40.5,34.2,,,,,
40,Whitefish Mountain Resort,https://www.skiresort.info/ski-resort/whitefish-mountain-resort/,85.0,Whitefish Mountain Village,Montana,91.0,18.0,46.0,27.0,"[-114.34326102380551, 48.497283508593256]",Montana,,-114.34326102380551,48.497283508593256
41,Angel Fire,https://www.skiresort.info/ski-resort/angel-fire/,79.0,Angel Fire,New Mexico,75.0,40.0,28.0,7.0,,,,,
42,Wolf Creek,https://www.skiresort.info/ski-resort/wolf-creek/,80.0,Pagosa Springs,Colorado,100.0,20.0,35.0,45.0,,,,,
43,Sugarbush,https://www.skiresort.info/ski-resort/sugarbush/,119.0,Warren,Vermont,85.0,17.0,38.0,30.0,,,,,
44,Purgatory – Durango,https://www.skiresort.info/ski-resort/purgatory-durango/,89.0,Durango,Colorado,85.0,15.0,40.0,30.0,,,,,
45,Sugarloaf,https://www.skiresort.info/ski-resort/sugarloaf/,119.0,Carrabassett Valley,Maine,87.0,20.0,30.0,37.0,"[-70.31393209318415, 45.043314638097705]",Maine,http://www.sugarloaf.com,-70.31393209318415,45.043314638097705
46,Brighton,https://www.skiresort.info/ski-resort/brighton/,97.0,Sandy,Salt Lake City,66.0,10.0,18.0,38.0,,,,,
47,Okemo,https://www.skiresort.info/ski-resort/okemo/,119.0,Ludlow,Vermont,70.0,22.0,26.0,22.0,,,,,
48,Mt. Baker,https://www.skiresort.info/ski-resort/mt-baker/,68.58,Glacier,Washington State,100.0,24.0,45.0,31.0,,,,,
49,Bolton Valley,https://www.skiresort.info/ski-resort/bolton-valley/,84.0,Burlington,Vermont,30.0,15.0,10.0,5.0,,,,,
50,Jay Peak,https://www.skiresort.info/ski-resort/jay-peak/,89.0,Jay,Vermont,76.0,15.0,31.0,30.0,"[-72.51622713475902, 44.928436540122156]",Vermont,http://jaypeakresort.com/,-72.51622713475902,44.928436540122156
51,Solitude,https://www.skiresort.info/ski-resort/solitude/,125.0,Salt Lake City,Salt Lake City,64.0,20.0,30.0,14.0,,,,,
52,Brian Head,https://www.skiresort.info/ski-resort/brian-head/,59.0,Parowan,Utah,71.0,22.0,24.0,25.0,,,,,
53,Bear Valley,https://www.skiresort.info/ski-resort/bear-valley/,99.0,Bear Valley,California,67.0,17.0,27.0,23.0,,,,,
