,name,link,price,total_len,easy_len,intermediate_len,difficult_len
56, Mount Snow ,https://www.skiresort.info/ski-resort/mount-snow/,110.0,60.0,6.0,46.0,8.0
57, Red Lodge Mountain ,https://www.skiresort.info/ski-resort/red-lodge-mountain/,84.0,65.0,11.0,30.0,24.0
58, Smugglers' Notch ,https://www.skiresort.info/ski-resort/smugglers-notch/,90.0,78.0,13.0,41.0,24.0
59, Bridger Bowl – Bozeman ,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,63.0,71.0,20.0,26.0,25.0
60, Gore Mountain ,https://www.skiresort.info/ski-resort/gore-mountain/,94.0,58.2,6.7,28.2,23.3
61, Bogus Basin ,https://www.skiresort.info/ski-resort/bogus-basin/,64.0,50.0,11.0,22.0,17.0
62, Kirkwood ,https://www.skiresort.info/ski-resort/kirkwood/,119.0,65.0,15.0,30.0,20.0
63, Sierra at Tahoe ,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,115.0,46.5,12.0,23.0,11.5
64, Crystal Mountain (WA) ,https://www.skiresort.info/ski-resort/crystal-mountain-wa/,149.0,50.0,8.0,27.0,15.0
65, 49 Degrees North Mountain Resort ,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,62.0,68.0,20.0,27.0,21.0
66, Loon Mountain ,https://www.skiresort.info/ski-resort/loon-mountain/,104.0,45.0,13.0,26.0,6.0
67, Snowbasin ,https://www.skiresort.info/ski-resort/snowbasin/,135.0,48.0,5.0,28.0,15.0
68, Apache ,https://www.skiresort.info/ski-resort/apache/,74.0,55.0,12.0,18.0,25.0
69, Timberline ,https://www.skiresort.info/ski-resort/timberline/,89.0,31.0,8.0,15.0,8.0
70, Hunter Mountain ,https://www.skiresort.info/ski-resort/hunter-mountain/,91.0,55.0,18.0,18.0,19.0
71, Tamarack Resort ,https://www.skiresort.info/ski-resort/tamarack-resort/,100.0,42.0,12.0,20.0,10.0
72, Windham Mountain ,https://www.skiresort.info/ski-resort/windham-mountain/,98.0,46.0,20.0,16.0,10.0
73, Arizona Snowbowl ,https://www.skiresort.info/ski-resort/arizona-snowbowl/,99.0,37.0,12.0,14.0,11.0
74, Mt. Hood Skibowl ,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,59.0,65.0,15.0,15.0,35.0
75, Grand Targhee ,https://www.skiresort.info/ski-resort/grand-targhee/,110.0,35.0,5.0,15.0,15.0
76, Holiday Valley ,https://www.skiresort.info/ski-resort/holiday-valley/,85.0,48.0,16.0,13.0,19.0
77, Lutsen Mountains ,https://www.skiresort.info/ski-resort/lutsen-mountains/,84.0,40.0,8.0,19.0,13.0
78, Cannon Mountain ,https://www.skiresort.info/ski-resort/cannon-mountain/,79.0,50.0,15.0,25.0,10.0
79, Stevens Pass ,https://www.skiresort.info/ski-resort/stevens-pass/,100.0,39.0,6.0,18.0,15.0
80, Eldora Mountain ,https://www.skiresort.info/ski-resort/eldora-mountain/,129.0,52.0,11.0,26.0,15.0
81, Loveland ,https://www.skiresort.info/ski-resort/loveland/,89.0,93.0,12.0,38.0,43.0
82, Powderhorn ,https://www.skiresort.info/ski-resort/powderhorn/,79.0,38.0,5.0,15.0,18.0
83, Lost Trail Powder Mountain ,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,46.0,50.0,15.0,25.0,10.0
84, White Pass ,https://www.skiresort.info/ski-resort/white-pass/,69.0,30.0,10.0,12.0,8.0
85, Pico Mountain ,https://www.skiresort.info/ski-resort/pico-mountain/,85.0,30.4,5.4,14.0,11.0
86, Discovery Ski Area ,https://www.skiresort.info/ski-resort/discovery-ski-area/,49.0,45.0,12.0,12.0,21.0
87, Donner Ski Ranch ,https://www.skiresort.info/ski-resort/donner-ski-ranch/,79.0,52.0,13.0,26.0,13.0
88, Mad River Glen ,https://www.skiresort.info/ski-resort/mad-river-glen/,92.0,46.0,14.0,17.0,15.0
89, China Peak ,https://www.skiresort.info/ski-resort/china-peak/,104.0,50.0,20.0,17.0,13.0
90, Gunstock ,https://www.skiresort.info/ski-resort/gunstock/,92.0,40.0,5.0,25.0,10.0
91, June Mountain ,https://www.skiresort.info/ski-resort/june-mountain/,129.0,35.7,2.1,12.9,20.7
92, Great Divide ,https://www.skiresort.info/ski-resort/great-divide/,48.0,50.0,10.0,20.0,20.0
93, Cranmore Mountain Resort ,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,89.0,43.0,16.0,19.0,8.0
94, Attitash Mountain Resort ,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,94.0,37.0,7.4,17.4,12.2
95, Dodge Ridge ,https://www.skiresort.info/ski-resort/dodge-ridge/,78.0,50.0,10.0,20.0,20.0
96, Mt. Sunapee ,https://www.skiresort.info/ski-resort/mt-sunapee/,99.0,30.0,8.0,16.0,6.0
97, Sundance ,https://www.skiresort.info/ski-resort/sundance/,85.0,44.0,15.0,20.0,9.0
98, Silver Mountain ,https://www.skiresort.info/ski-resort/silver-mountain/,62.0,25.0,4.0,8.0,13.0
99, Brundage Mountain ,https://www.skiresort.info/ski-resort/brundage-mountain/,70.0,30.0,6.0,15.0,9.0
100, Bear Mountain – Big Bear Lake ,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,N/A,27.2,8.0,11.2,8.0
101, Ragged Mountain ,https://www.skiresort.info/ski-resort/ragged-mountain/,84.0,22.5,4.5,10.0,8.0
102, Snowshoe Mountain ,https://www.skiresort.info/ski-resort/snowshoe-mountain/,119.0,31.0,14.0,11.0,6.0
103, Terry Peak ,https://www.skiresort.info/ski-resort/terry-peak/,58.0,16.0,4.7,7.2,4.1
104, Saddleback ,https://www.skiresort.info/ski-resort/saddleback/,79.0,22.0,4.0,8.0,10.0
105, Wildcat Mountain ,https://www.skiresort.info/ski-resort/wildcat-mountain/,94.0,25.0,5.2,12.1,7.7
106, Snow Valley ,https://www.skiresort.info/ski-resort/snow-valley/,89.0,34.0,4.0,20.0,10.0
107, Santa Fé ,https://www.skiresort.info/ski-resort/santa-fe/,80.0,34.0,9.0,15.0,10.0
