,name,link,price,total_len,easy_len,intermediate_len,difficult_len
238, Las Vegas Ski and Snowboard Resort – Lee Canyon ,https://www.skiresort.info/ski-resort/las-vegas-ski-and-snowboard-resort-lee-canyon/,72.0,7.3,0.3,5.0,2.0
239, Hogadon Ski Area ,https://www.skiresort.info/ski-resort/hogadon-ski-area/,N/A,5.0,1.9,1.6,1.5
240, McCauly Mountain ,https://www.skiresort.info/ski-resort/mccauly-mountain/,30.0,9.0,3.0,4.0,2.0
241, Snow Trails ,https://www.skiresort.info/ski-resort/snow-trails/,52.0,5.3,1.5,2.8,1.0
242, Mt. Southington ,https://www.skiresort.info/ski-resort/mt-southington/,60.0,5.8,2.0,3.0,0.8
243, Camden Snow Bowl ,https://www.skiresort.info/ski-resort/camden-snow-bowl/,43.0,6.0,1.2,3.6,1.2
244, Mt. Eyak ,https://www.skiresort.info/ski-resort/mt-eyak/,30.0,5.0,1.0,2.0,2.0
245, Powder Ridge Mountain Park & Resort ,https://www.skiresort.info/ski-resort/powder-ridge-mountain-park-resort/,49.0,5.5,2.5,2.0,1.0
246, Mad River Mountain ,https://www.skiresort.info/ski-resort/mad-river-mountain/,49.0,6.3,3.0,2.0,1.3
247, Hunt Hollow Ski Club ,https://www.skiresort.info/ski-resort/hunt-hollow-ski-club/,58.0,5.0,2.0,2.0,1.0
248, Alpine Valley – White Lake ,https://www.skiresort.info/ski-resort/alpine-valley-white-lake/,58.0,5.8,2.4,1.6,1.8
249, Wolf Ridge ,https://www.skiresort.info/ski-resort/wolf-ridge/,65.0,6.0,3.0,2.0,1.0
250, Paoli Peaks ,https://www.skiresort.info/ski-resort/paoli-peaks/,45.0,6.6,2.6,3.0,1.0
251, Granite Gorge ,https://www.skiresort.info/ski-resort/granite-gorge/,30.0,6.0,3.0,2.0,1.0
252, Nashoba Valley ,https://www.skiresort.info/ski-resort/nashoba-valley/,58.0,5.8,1.0,3.0,1.8
253, Crystal Mountain (MI) ,https://www.skiresort.info/ski-resort/crystal-mountain-mi/,79.0,4.9,1.2,2.3,1.4
254, Bryce Resort ,https://www.skiresort.info/ski-resort/bryce-resort/,N/A,5.0,2.0,2.8,0.2
255, King Pine – Purity Spring Resort ,https://www.skiresort.info/ski-resort/king-pine-purity-spring-resort/,58.0,5.3,2.8,1.5,1.0
256, Pine Knob ,https://www.skiresort.info/ski-resort/pine-knob/,57.0,5.0,1.0,2.5,1.5
257, Mont Ripley ,https://www.skiresort.info/ski-resort/mont-ripley/,52.0,6.9,2.0,2.2,2.7
258, Mount Pleasant ,https://www.skiresort.info/ski-resort/mount-pleasant/,38.0,5.0,2.0,2.0,1.0
259, Pajarito Mountain ,https://www.skiresort.info/ski-resort/pajarito-mountain/,49.0,26.0,8.0,12.0,6.0
260, Quechee Lakes Ski Area ,https://www.skiresort.info/ski-resort/quechee-lakes-ski-area/,49.0,5.0,2.0,2.5,0.5
261, Mountain High North ,https://www.skiresort.info/ski-resort/mountain-high-north/,84.0,5.0,2.0,3.0,0.0
262, Mt. Brighton ,https://www.skiresort.info/ski-resort/mt-brighton/,59.0,6.2,1.0,3.5,1.7
263, Hidden Valley (MO) ,https://www.skiresort.info/ski-resort/hidden-valley-mo/,49.0,4.0,1.0,2.0,1.0
264, Nordic Mountain ,https://www.skiresort.info/ski-resort/nordic-mountain/,47.0,6.5,2.0,3.0,1.5
265, Ober Gatlinburg ,https://www.skiresort.info/ski-resort/ober-gatlinburg/,65.0,6.2,0.7,4.2,1.3
266, Moose Mountain ,https://www.skiresort.info/ski-resort/moose-mountain/,40.0,25.0,3.0,12.0,10.0
267, Shanty Creek Resorts – Summit Mountain ,https://www.skiresort.info/ski-resort/shanty-creek-resorts-summit-mountain/,73.0,4.0,0.8,2.5,0.7
268, Wilmot Mountain ,https://www.skiresort.info/ski-resort/wilmot-mountain/,68.0,4.0,1.4,1.6,1.0
269, Seven Oaks ,https://www.skiresort.info/ski-resort/seven-oaks/,40.0,4.0,1.5,2.0,0.5
270, Mount Peter ,https://www.skiresort.info/ski-resort/mount-peter/,62.0,3.8,1.0,2.0,0.8
271, Hilltop – Anchorage ,https://www.skiresort.info/ski-resort/hilltop-anchorage/,34.0,5.0,4.0,1.0,0.0
272, Mystic Mountain – Farmington ,https://www.skiresort.info/ski-resort/mystic-mountain-farmington/,43.0,3.9,2.3,1.0,0.6
273, Snowstar ,https://www.skiresort.info/ski-resort/snowstar/,35.0,4.0,0.5,1.5,2.0
274, Mt. Ashwabay – Salmo ,https://www.skiresort.info/ski-resort/mt-ashwabay-salmo/,24.0,4.0,1.5,1.2,1.3
275, Snow Creek ,https://www.skiresort.info/ski-resort/snow-creek/,47.0,3.2,1.3,1.8,0.1
276, Powder Ridge ,https://www.skiresort.info/ski-resort/powder-ridge/,48.0,4.0,2.0,1.5,0.5
277, Wild Mountain ,https://www.skiresort.info/ski-resort/wild-mountain/,56.0,4.8,1.1,1.6,2.1
278, Antelope Butte ,https://www.skiresort.info/ski-resort/antelope-butte/,20.0,20.0,4.0,10.0,6.0
279, Treetops ,https://www.skiresort.info/ski-resort/treetops/,N/A,4.4,0.3,1.9,2.2
280, Dartmouth Skiway ,https://www.skiresort.info/ski-resort/dartmouth-skiway/,50.0,16.0,4.0,8.0,4.0
281, McIntyre ,https://www.skiresort.info/ski-resort/mcintyre/,38.0,3.0,2.5,0.5,0.0
282, Skeetawk – Hatcher Pass ,https://www.skiresort.info/ski-resort/skeetawk-hatcher-pass/,39.0,2.5,1.0,0.8,0.7
283, Lost Valley ,https://www.skiresort.info/ski-resort/lost-valley/,55.0,2.0,1.0,0.5,0.5
284, Summit Ski Area at Mt. Hood ,https://www.skiresort.info/ski-resort/summit-ski-area-at-mt-hood/,36.0,4.0,2.0,2.0,0.0
285, Great Bear Ski Valley ,https://www.skiresort.info/ski-resort/great-bear-ski-valley/,29.0,3.8,2.6,1.2,0.0
286, Stagecoach Mountain  (temporarily closed) ,https://www.skiresort.info/ski-resort/stagecoach-mountain/,N/A,,,,
287, Little Switzerland ,https://www.skiresort.info/ski-resort/little-switzerland/,46.0,3.0,1.1,1.3,0.6
288, Elko Snobowl ,https://www.skiresort.info/ski-resort/elko-snobowl/,20.0,3.0,1.5,1.5,0.0
289, Kendall Mountain – Silverton ,https://www.skiresort.info/ski-resort/kendall-mountain-silverton/,25.0,1.7,1.0,0.5,0.2
290, Blue Mountain ,https://www.skiresort.info/ski-resort/blue-mountain/,65.0,18.0,10.0,6.0,2.0
291, Otis Ridge ,https://www.skiresort.info/ski-resort/otis-ridge/,40.0,3.7,1.2,1.5,1.0
292, Frost Fire Mountain ,https://www.skiresort.info/ski-resort/frost-fire-mountain/,37.0,1.5,0.7,0.6,0.2
293, Sawmill Mountain Resort ,https://www.skiresort.info/ski-resort/sawmill-mountain-resort/,44.0,4.4,0.9,2.5,1.0
294, Mt. Holiday ,https://www.skiresort.info/ski-resort/mt-holiday/,34.0,4.5,1.0,2.0,1.5
295, Chester Bowl ,https://www.skiresort.info/ski-resort/chester-bowl/,15.0,1.3,0.3,0.5,0.5
296, Blacktail Mountain ,https://www.skiresort.info/ski-resort/blacktail-mountain/,42.0,17.0,3.0,11.0,3.0
297, Turner Mountain ,https://www.skiresort.info/ski-resort/turner-mountain/,38.0,13.8,2.1,5.5,6.2
298, Mt. Jefferson ,https://www.skiresort.info/ski-resort/mt-jefferson/,25.0,9.5,3.0,4.0,2.5
299, Trollhaugen ,https://www.skiresort.info/ski-resort/trollhaugen/,54.0,4.9,2.5,1.5,0.9
300, Howelsen Hill – Steamboat Springs ,https://www.skiresort.info/ski-resort/howelsen-hill-steamboat-springs/,25.0,4.0,1.7,1.5,0.8
301, Sunburst ,https://www.skiresort.info/ski-resort/sunburst/,44.0,3.0,0.5,1.5,1.0
302, Alpine Valley Ohio ,https://www.skiresort.info/ski-resort/alpine-valley-ohio/,45.0,2.6,1.2,1.2,0.2
303, Echo Mountain Park – Idaho Springs ,https://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,65.0,3.0,2.0,1.0,0.0
304, Mt. Abram ,https://www.skiresort.info/ski-resort/mt-abram/,49.0,14.5,3.5,7.0,4.0
305, Snow Snake ,https://www.skiresort.info/ski-resort/snow-snake/,35.0,3.0,1.0,1.5,0.5
306, Tenney Mountain ,https://www.skiresort.info/ski-resort/tenney-mountain/,59.0,15.0,3.0,8.0,4.0
307, Campton Mountain ,https://www.skiresort.info/ski-resort/campton-mountain/,22.0,1.3,0.6,0.5,0.2
308, Willard Mountain – Greenwich ,https://www.skiresort.info/ski-resort/willard-mountain-greenwich/,47.0,2.8,0.6,1.4,0.8
309, Berkshire East ,https://www.skiresort.info/ski-resort/berkshire-east/,72.0,13.0,6.0,4.0,3.0
310, Elk Mountain ,https://www.skiresort.info/ski-resort/elk-mountain/,69.0,15.0,3.0,8.0,4.0
311, Hyland Hills ,https://www.skiresort.info/ski-resort/hyland-hills/,35.34,1.2,0.6,0.4,0.2
312, Bald Mountain ,https://www.skiresort.info/ski-resort/bald-mountain/,20.0,9.0,3.0,4.0,2.0
313, Christmas Mountain ,https://www.skiresort.info/ski-resort/christmas-mountain/,45.0,2.0,1.3,0.5,0.2
314, Peek'n Peak ,https://www.skiresort.info/ski-resort/peekn-peak/,63.0,15.0,4.0,8.0,3.0
315, Heiliger Huegel – Hubertus ,https://www.skiresort.info/ski-resort/heiliger-huegel-hubertus/,N/A,1.2,0.6,0.4,0.2
316, Bluewood ,https://www.skiresort.info/ski-resort/bluewood/,47.0,11.0,3.0,5.0,3.0
317, Detroit Mountain ,https://www.skiresort.info/ski-resort/detroit-mountain/,42.0,2.0,1.0,1.0,0.0
318, Campgaw Mountain ,https://www.skiresort.info/ski-resort/campgaw-mountain/,45.0,1.3,1.0,0.3,0.0
319, The Balsams ,https://www.skiresort.info/ski-resort/the-balsams/,N/A,12.6,3.4,4.0,5.2
320, Hermon Mountain ,https://www.skiresort.info/ski-resort/hermon-mountain/,N/A,3.0,2.0,0.5,0.5
321, Val Bialas Ski Center – Utica ,https://www.skiresort.info/ski-resort/val-bialas-ski-center-utica/,N/A,1.8,0.8,0.4,0.6
322, Buffalo Ski Club ,https://www.skiresort.info/ski-resort/buffalo-ski-club/,50.0,11.0,5.0,4.0,2.0
323, Yawgoo Valley ,https://www.skiresort.info/ski-resort/yawgoo-valley/,50.0,2.5,1.5,1.0,0.0
324, Mount Ski Gull ,https://www.skiresort.info/ski-resort/mount-ski-gull/,39.99,2.1,0.7,0.7,0.7
325, Black Mountain – Jackson ,https://www.skiresort.info/ski-resort/black-mountain-jackson/,59.0,12.0,6.0,4.0,2.0
326, Big Tupper – Tupper Lake ,https://www.skiresort.info/ski-resort/big-tupper-tupper-lake/,N/A,12.0,5.0,5.0,2.0
327, Buck Hill Ski Area ,https://www.skiresort.info/ski-resort/buck-hill-ski-area/,47.0,2.2,1.2,0.8,0.2
328, Magic Mountain Resort ,https://www.skiresort.info/ski-resort/magic-mountain-resort/,33.0,10.5,3.5,3.0,4.0
329, Devil's Head ,https://www.skiresort.info/ski-resort/devils-head/,65.0,10.0,3.0,3.5,3.5
330, Jack Frost Mountain ,https://www.skiresort.info/ski-resort/jack-frost-mountain/,65.0,12.0,6.0,5.5,0.5
331, Ward Hill – Shrewsbury ,https://www.skiresort.info/ski-resort/ward-hill-shrewsbury/,55.0,2.1,0.6,1.0,0.5
332, Porcupine Mountain ,https://www.skiresort.info/ski-resort/porcupine-mountain/,43.0,9.7,3.2,3.5,3.0
333, Big Squaw ,https://www.skiresort.info/ski-resort/big-squaw/,30.0,8.0,3.0,3.0,2.0
334, Canaan Valley ,https://www.skiresort.info/ski-resort/canaan-valley/,78.0,10.0,3.0,4.0,3.0
335, Woodbury  (temporarily closed) ,https://www.skiresort.info/ski-resort/woodbury/,N/A,9.6,3.5,3.5,2.6
336, Hidden Valley (PA) ,https://www.skiresort.info/ski-resort/hidden-valley-pa/,69.0,9.0,4.0,3.0,2.0
337, Indianhead Mountain ,https://www.skiresort.info/ski-resort/indianhead-mountain/,65.0,10.0,2.0,3.0,5.0
338, Warner Canyon – Lakeview ,https://www.skiresort.info/ski-resort/warner-canyon-lakeview/,35.0,9.9,2.4,1.6,5.9
339, Blackjack ,https://www.skiresort.info/ski-resort/blackjack/,65.0,10.0,2.0,4.0,4.0
340, Cloudcroft ,https://www.skiresort.info/ski-resort/cloudcroft/,45.0,10.0,4.0,2.0,4.0
341, The Whitecap Mountains ,https://www.skiresort.info/ski-resort/the-whitecap-mountains/,60.0,9.0,4.0,2.0,3.0
342, Snow Ridge ,https://www.skiresort.info/ski-resort/snow-ridge/,48.0,10.0,2.0,3.0,5.0
343, Sunrise Park ,https://www.skiresort.info/ski-resort/sunrise-park/,74.0,,,,
344, Oglebay Resort ,https://www.skiresort.info/ski-resort/oglebay-resort/,28.0,1.0,1.0,0.0,0.0
345, Bottineau Winter Park ,https://www.skiresort.info/ski-resort/bottineau-winter-park/,38.0,1.2,0.5,0.5,0.2
346, Hickory Ski Center  (temporarily closed) ,https://www.skiresort.info/ski-resort/hickory-ski-center/,N/A,8.0,3.0,3.0,2.0
347, Woodward Park City ,https://www.skiresort.info/ski-resort/woodward-park-city/,N/A,0.5,0.3,0.2,0.0
348, Denton Hill State Park  (temporarily closed) ,https://www.skiresort.info/ski-resort/denton-hill-state-park/,N/A,8.0,4.0,2.0,2.0
349, Toggenburg Ski Center ,https://www.skiresort.info/ski-resort/toggenburg-ski-center/,55.0,8.3,3.2,2.0,3.1
350, Ausblick – Sussex ,https://www.skiresort.info/ski-resort/ausblick-sussex/,30.0,1.4,0.8,0.6,0.0
351, Mt. Holly ,https://www.skiresort.info/ski-resort/mt-holly/,45.0,7.0,1.0,2.5,3.5
352, Villa Olivia – Bartlett ,https://www.skiresort.info/ski-resort/villa-olivia-bartlett/,40.0,1.4,0.2,0.6,0.6
353, Sapphire Valley ,https://www.skiresort.info/ski-resort/sapphire-valley/,40.0,0.5,0.5,0.0,0.0
354, Silverton Mountain ,https://www.skiresort.info/ski-resort/silverton-mountain/,79.0,,,,
355, Utah Olympic Park ,https://www.skiresort.info/ski-resort/utah-olympic-park/,N/A,0.2,0.0,0.2,0.0
356, Beartooth Basin ,https://www.skiresort.info/ski-resort/beartooth-basin/,45.0,5.0,0.0,2.0,3.0
357, Big Snow American Dream (indoor ski area) ,https://www.skiresort.info/ski-resort/big-snow-american-dream/,N/A,0.5,0.3,0.2,0.0
358, Titcomb Mountain ,https://www.skiresort.info/ski-resort/titcomb-mountain/,24.0,4.4,1.0,1.1,2.3
359, Welch Village ,https://www.skiresort.info/ski-resort/welch-village/,60.0,6.0,2.0,2.0,2.0
360, Lonesome Pine Trails – Fort Kent ,https://www.skiresort.info/ski-resort/lonesome-pine-trails-fort-kent/,25.0,4.6,1.0,1.6,2.0
361, Navarino Hills ,https://www.skiresort.info/ski-resort/navarino-hills/,27.0,0.8,0.5,0.3,0.0
362, Christie Mountain ,https://www.skiresort.info/ski-resort/christie-mountain/,38.0,5.6,2.8,1.5,1.3
363, Sundown ,https://www.skiresort.info/ski-resort/sundown/,62.0,5.8,2.7,1.4,1.7
364, Hurricane Ridge ,https://www.skiresort.info/ski-resort/hurricane-ridge/,40.0,5.0,2.0,2.0,1.0
365, Ferguson Ridge ,https://www.skiresort.info/ski-resort/ferguson-ridge/,20.0,5.0,2.0,2.0,1.0
366, Appalachian Ski Mountain ,https://www.skiresort.info/ski-resort/appalachian-ski-mountain/,64.0,5.0,2.0,2.5,0.5
367, Blandford ,https://www.skiresort.info/ski-resort/blandford/,45.0,5.0,2.0,2.0,1.0
368, Chestnut Mountain ,https://www.skiresort.info/ski-resort/chestnut-mountain/,60.0,6.0,2.0,3.0,1.0
369, Perfect North Slopes ,https://www.skiresort.info/ski-resort/perfect-north-slopes/,N/A,5.0,3.0,1.0,1.0
370, Cuchara Mountain Park ,https://www.skiresort.info/ski-resort/cuchara-mountain-park/,N/A,6.0,2.0,3.0,1.0
371, Rotarun ,https://www.skiresort.info/ski-resort/rotarun/,N/A,4.6,1.1,2.0,1.5
372, Coppervale ,https://www.skiresort.info/ski-resort/coppervale/,N/A,3.0,1.0,2.0,0.0
373, Snowhaven ,https://www.skiresort.info/ski-resort/snowhaven/,20.0,3.0,1.5,1.5,0.0
374, Tyrol Basin – Mt Horeb ,https://www.skiresort.info/ski-resort/tyrol-basin-mt-horeb/,48.0,4.2,1.2,1.5,1.5
375, Holiday Mountain (NY) ,https://www.skiresort.info/ski-resort/holiday-mountain-ny/,42.0,4.0,1.0,2.0,1.0
376, The Homestead Resort ,https://www.skiresort.info/ski-resort/the-homestead-resort/,45.0,4.0,1.0,2.0,1.0
377, Mulligan's Hollow Ski Bowl ,https://www.skiresort.info/ski-resort/mulligans-hollow-ski-bowl/,20.0,3.0,1.0,1.0,1.0
378, The Omni Homestead ,https://www.skiresort.info/ski-resort/the-omni-homestead/,57.0,3.0,1.0,1.0,1.0
379, Bradford ,https://www.skiresort.info/ski-resort/bradford/,55.0,4.0,1.5,1.5,1.0
380, Cazenovia ,https://www.skiresort.info/ski-resort/cazenovia/,N/A,2.3,0.6,0.7,1.0
381, Elk Ridge – Williams ,https://www.skiresort.info/ski-resort/elk-ridge-williams/,40.0,3.0,0.6,1.5,0.9
382, Thunder Ridge ,https://www.skiresort.info/ski-resort/thunder-ridge/,57.0,4.2,1.8,1.0,1.4
383, Blue Hills ,https://www.skiresort.info/ski-resort/blue-hills/,45.0,3.0,1.5,1.0,0.5
384, Huff Hills ,https://www.skiresort.info/ski-resort/huff-hills/,35.0,3.0,1.8,0.8,0.4
385, Timber Ridge ,https://www.skiresort.info/ski-resort/timber-ridge/,45.0,3.2,1.2,1.6,0.4
386, Mont du Lac ,https://www.skiresort.info/ski-resort/mont-du-lac/,39.99,3.9,0.5,1.4,2.0
387, Tussey Mountain ,https://www.skiresort.info/ski-resort/tussey-mountain/,52.0,3.0,1.5,1.2,0.3
388, Woods Valley ,https://www.skiresort.info/ski-resort/woods-valley/,43.0,4.0,2.0,1.5,0.5
389, Winter Park – Kewaunee County ,https://www.skiresort.info/ski-resort/winter-park-kewaunee-county/,15.0,1.1,0.5,0.5,0.1
390, Mount Greylock – South Williamstown ,https://www.skiresort.info/ski-resort/mount-greylock-south-williamstown/,N/A,4.8,1.2,3.0,0.6
391, Skyline – Friendship ,https://www.skiresort.info/ski-resort/skyline-friendship/,N/A,1.7,1.0,0.4,0.3
392, Sundown Mountain Resort ,https://www.skiresort.info/ski-resort/sundown-mountain-resort/,46.0,3.2,1.3,1.6,0.3
393, Andes Tower Hills ,https://www.skiresort.info/ski-resort/andes-tower-hills/,45.0,4.0,2.2,1.6,0.2
394, Lyndon Outing Club ,https://www.skiresort.info/ski-resort/lyndon-outing-club/,15.0,2.6,1.5,1.0,0.1
395, Ascutney Mountain ,https://www.skiresort.info/ski-resort/ascutney-mountain/,N/A,1.8,1.2,0.6,0.0
396, Lake City Ski Hill ,https://www.skiresort.info/ski-resort/lake-city-ski-hill/,15.0,1.0,0.7,0.3,0.0
397, Storrs Hill – Lebanon ,https://www.skiresort.info/ski-resort/storrs-hill-lebanon/,15.0,1.0,0.7,0.3,0.0
398, Whitetail Ridge – Fort McCoy ,https://www.skiresort.info/ski-resort/whitetail-ridge-fort-mccoy/,27.0,1.2,0.7,0.5,0.0
399, Cannonsburg Ski Area ,https://www.skiresort.info/ski-resort/cannonsburg-ski-area/,39.0,2.0,0.5,1.0,0.5
400, Granlibakken ,https://www.skiresort.info/ski-resort/granlibakken/,40.0,2.0,1.0,1.0,0.0
401, Bruce Mound ,https://www.skiresort.info/ski-resort/bruce-mound/,31.0,2.0,1.0,0.5,0.5
402, Boston Mills ,https://www.skiresort.info/ski-resort/boston-mills/,44.0,1.5,0.5,0.5,0.5
403, Big Boulder ,https://www.skiresort.info/ski-resort/big-boulder/,65.0,4.0,3.0,1.0,0.0
404, Echo Valley – Lake Chelan ,https://www.skiresort.info/ski-resort/echo-valley-lake-chelan/,30.0,2.4,0.2,1.2,1.0
405, Veterans Memorial – Franklin ,https://www.skiresort.info/ski-resort/veterans-memorial-franklin/,N/A,1.0,0.6,0.4,0.0
406, Beartown ,https://www.skiresort.info/ski-resort/beartown/,22.0,0.8,0.5,0.3,0.0
407, Buena Vista ,https://www.skiresort.info/ski-resort/buena-vista/,44.0,1.7,0.4,0.8,0.5
408, Brandywine ,https://www.skiresort.info/ski-resort/brandywine/,44.0,2.0,1.0,0.7,0.3
409, Crescent Hills ,https://www.skiresort.info/ski-resort/crescent-hills/,39.0,2.0,0.8,0.8,0.4
410, Spruce Mountain – Jay ,https://www.skiresort.info/ski-resort/spruce-mountain-jay/,25.0,2.4,0.6,1.4,0.4
411, Dry Hill ,https://www.skiresort.info/ski-resort/dry-hill/,40.0,2.4,0.7,1.2,0.5
412, Grand Geneva ,https://www.skiresort.info/ski-resort/grand-geneva/,55.0,1.8,1.2,0.4,0.2
413, Swiss Valley ,https://www.skiresort.info/ski-resort/swiss-valley/,42.0,1.8,0.4,1.1,0.3
414, Camp 10 ,https://www.skiresort.info/ski-resort/camp-10/,34.0,1.5,0.3,0.7,0.5
415, Coffee Mill Ski Area ,https://www.skiresort.info/ski-resort/coffee-mill-ski-area/,37.0,2.0,1.0,0.6,0.4
416, Fox Hill ,https://www.skiresort.info/ski-resort/fox-hill/,N/A,1.0,0.5,0.3,0.2
417, Red Hill – Moultonborough ,https://www.skiresort.info/ski-resort/red-hill-moultonborough/,N/A,1.0,0.4,0.4,0.2
418, Buckhorn Ski and Snowboard Club ,https://www.skiresort.info/ski-resort/buckhorn-ski-and-snowboard-club/,N/A,1.2,0.2,0.6,0.4
419, Abenaki ,https://www.skiresort.info/ski-resort/abenaki/,N/A,2.0,1.2,0.5,0.3
420, Indian Lake ,https://www.skiresort.info/ski-resort/indian-lake/,N/A,0.9,0.6,0.3,0.0
421, Polar Peak ,https://www.skiresort.info/ski-resort/polar-peak/,N/A,1.9,1.0,0.5,0.4
422, Maple Ski Ridge ,https://www.skiresort.info/ski-resort/maple-ski-ridge/,N/A,1.4,0.3,0.8,0.3
423, The Ridge – Le Roy ,https://www.skiresort.info/ski-resort/the-ridge-le-roy/,N/A,0.7,0.4,0.3,0.0
424, Northeast Slopes – East Corinth ,https://www.skiresort.info/ski-resort/northeast-slopes-east-corinth/,15.0,2.2,1.2,1.0,0.0
425, Mt. Pisgah ,https://www.skiresort.info/ski-resort/mt-pisgah/,25.0,1.0,1.0,0.0,0.0
426, Little Ski Hill ,https://www.skiresort.info/ski-resort/little-ski-hill/,15.0,1.4,1.4,0.0,0.0
427, Cochran Ski Area ,https://www.skiresort.info/ski-resort/cochran-ski-area/,25.0,1.2,0.6,0.5,0.1
428, Plumas Eureka Ski Bowl ,https://www.skiresort.info/ski-resort/plumas-eureka-ski-bowl/,N/A,1.3,1.0,0.2,0.1
429, Missaukee Mountain ,https://www.skiresort.info/ski-resort/missaukee-mountain/,N/A,1.3,0.7,0.5,0.1
430, Pinnacle Park – Pittsfield ,https://www.skiresort.info/ski-resort/pinnacle-park-pittsfield/,N/A,0.7,0.3,0.2,0.2
431, Quoggy Jo Ski Center – Presque Isle ,https://www.skiresort.info/ski-resort/quoggy-jo-ski-center-presque-isle/,8.0,0.8,0.8,0.0,0.0
432, Pando Park  (temporarily closed) ,https://www.skiresort.info/ski-resort/pando-park/,22.0,1.3,1.0,0.3,0.0
433, Hanson Hills ,https://www.skiresort.info/ski-resort/hanson-hills/,25.0,1.0,0.8,0.2,0.0
434, Eaton Mountain ,https://www.skiresort.info/ski-resort/eaton-mountain/,15.0,2.0,1.5,0.5,0.0
435, Badger Mountain ,https://www.skiresort.info/ski-resort/badger-mountain/,10.0,2.5,2.0,0.5,0.0
436, Kettlebowl ,https://www.skiresort.info/ski-resort/kettlebowl/,5.0,1.4,0.3,1.1,0.0
437, Alta Sierra – Shirley Meadows ,https://www.skiresort.info/ski-resort/alta-sierra-shirley-meadows/,50.0,1.5,1.3,0.2,0.0
438, Hillberg Ski Area ,https://www.skiresort.info/ski-resort/hillberg-ski-area/,20.0,1.2,0.9,0.3,0.0
439, Brantling Ski Slopes ,https://www.skiresort.info/ski-resort/brantling-ski-slopes/,32.0,1.0,0.7,0.3,0.0
440, Living Memorial Park – Brattleboro ,https://www.skiresort.info/ski-resort/living-memorial-park-brattleboro/,5.0,0.5,0.5,0.0,0.0
441, Fort Wainwright/​Birch Hill – Fairbanks ,https://www.skiresort.info/ski-resort/fort-wainwrightbirch-hill-fairbanks/,N/A,1.8,1.5,0.3,0.0
442, Snow Hill at Eastman ,https://www.skiresort.info/ski-resort/snow-hill-at-eastman/,N/A,1.0,0.5,0.5,0.0
443, Challenge Mountain – Walloon Lake ,https://www.skiresort.info/ski-resort/challenge-mountain-walloon-lake/,N/A,1.2,0.9,0.3,0.0
444, Mt. Eustis – Littleton  (temporarily closed) ,https://www.skiresort.info/ski-resort/mt-eustis-littleton/,N/A,1.2,0.5,0.7,0.0
445, Sahalie Ski Club ,https://www.skiresort.info/ski-resort/sahalie-ski-club/,N/A,1.5,1.0,0.5,0.0
446, Meany Lodge ,https://www.skiresort.info/ski-resort/meany-lodge/,N/A,2.0,1.0,1.0,0.0
447, Mount Prospect – Lancaster ,https://www.skiresort.info/ski-resort/mount-prospect-lancaster/,N/A,0.8,0.5,0.3,0.0
448, Triangle Sports Area – Green Bay ,https://www.skiresort.info/ski-resort/triangle-sports-area-green-bay/,N/A,0.6,0.5,0.1,0.0
449, Blackhawk Ski Club – Middleton ,https://www.skiresort.info/ski-resort/blackhawk-ski-club-middleton/,N/A,0.8,0.6,0.2,0.0
450, Leavenworth Ski Hill ,https://www.skiresort.info/ski-resort/leavenworth-ski-hill/,19.0,1.0,1.0,0.0,0.0
451, Powers Bluff ,https://www.skiresort.info/ski-resort/powers-bluff/,10.0,1.0,1.0,0.0,0.0
452, Boyce Park ,https://www.skiresort.info/ski-resort/boyce-park/,28.0,1.0,1.0,0.0,0.0
453, The Rock Snow Park ,https://www.skiresort.info/ski-resort/the-rock-snow-park/,40.0,1.0,1.0,0.0,0.0
454, Four Lakes ,https://www.skiresort.info/ski-resort/four-lakes/,28.0,1.0,1.0,0.0,0.0
455, Villa Roma ,https://www.skiresort.info/ski-resort/villa-roma/,N/A,1.7,1.7,0.0,0.0
456, Big Creek Ski Area ,https://www.skiresort.info/ski-resort/big-creek-ski-area/,N/A,1.0,1.0,0.0,0.0
457, Four Seasons ,https://www.skiresort.info/ski-resort/four-seasons/,24.0,0.5,0.4,0.1,0.0
458, Standing Rocks ,https://www.skiresort.info/ski-resort/standing-rocks/,16.0,0.9,0.9,0.0,0.0
459, Cloudmont Ski Resort ,https://www.skiresort.info/ski-resort/cloudmont-ski-resort/,40.0,0.6,0.6,0.0,0.0
460, Al Quaal ,https://www.skiresort.info/ski-resort/al-quaal/,N/A,0.4,0.2,0.2,0.0
461, Adventure Mountain – Greenland ,https://www.skiresort.info/ski-resort/adventure-mountain-greenland/,N/A,0.5,0.2,0.3,0.0
462, Aldis Hill Park – St. Albans ,https://www.skiresort.info/ski-resort/aldis-hill-park-st-albans/,N/A,0.4,0.2,0.2,0.0
463, Gladstone Sports Park ,https://www.skiresort.info/ski-resort/gladstone-sports-park/,N/A,0.5,0.4,0.1,0.0
464, Ruby Mountain ,https://www.skiresort.info/ski-resort/ruby-mountain/,N/A,,,,
465, North Cascade Heliskiing – Mazama ,https://www.skiresort.info/ski-resort/north-cascade-heliskiing-mazama/,N/A,,,,
466, Keyes Peak – Florence ,https://www.skiresort.info/ski-resort/keyes-peak-florence/,12.0,0.5,0.5,0.0,0.0
467, Powderhouse Hill – South Berwick ,https://www.skiresort.info/ski-resort/powderhouse-hill-south-berwick/,5.0,0.5,0.5,0.0,0.0
