closest_town,date,time,weather_lat,weather_lon,temperature,feels_like,temp_min,temp_max,temp_description,humidity,cloudiness,wind_speed,daily_chance_snow,hourly_chance_snow
Parowan,02/23/21,21:42:00,37.8422,-112.828,38.39000000000002,32.774000000000015,35.6,41.0,clear sky,48,1,0.53,0,0
Bear Valley,02/23/21,20:42:00,38.4646,-120.0399,28.49000000000002,18.95,26.99600000000005,30.991999999999997,clear sky,74,1,3.7,0,0
Anchorage,02/23/21,19:42:00,61.2181,-149.9003,15.674000000000014,7.754000000000055,15.008000000000003,17.99600000000005,overcast clouds,67,90,1.54,0,0
Twin Mountain,02/23/21,23:42:00,44.2723,-71.539,28.65200000000008,20.498000000000026,14.0,32.0,light snow,93,90,3.09,86,99
West Dover,02/23/21,07:42:00,44.4921,-63.8692,34.50200000000008,27.914000000000033,33.008,35.6,overcast clouds,80,100,2.06,0,0
Red Lodge,02/23/21,04:42:00,45.1858,-109.2468,25.448000000000025,14.522000000000038,21.2,28.994000000000074,clear sky,53,1,4.12,0,0
Jeffersonville,02/23/21,23:42:00,38.2776,-85.7372,40.24400000000007,32.73800000000004,35.99600000000005,44.6,clear sky,56,1,2.47,0,0
Bozeman,02/23/21,21:42:00,45.6796,-111.0386,21.128000000000064,14.072000000000038,17.99600000000005,26.6,clear sky,54,1,0.88,65,0
Boise,02/23/21,23:42:00,43.6135,-116.2035,34.23200000000001,27.104000000000052,33.8,35.00600000000003,broken clouds,55,75,1.67,0,0
Kirkwood,02/23/21,22:42:00,38.5834,-90.4068,50.288000000000046,40.87400000000001,48.00200000000008,53.00600000000003,broken clouds,58,75,5.14,0,0
North Creek,02/23/21,20:42:00,47.8195,-122.1762,36.01400000000003,27.59000000000002,33.008,39.00200000000008,overcast clouds,93,90,4.12,0,0
South Lake Tahoe,02/23/21,20:42:00,38.9332,-119.9844,29.444000000000074,21.704000000000054,26.6,35.99600000000005,clear sky,63,1,2.06,0,0
Enumclaw,02/23/21,20:42:00,47.2043,-121.9915,35.312000000000054,29.588000000000044,32.0,39.00200000000008,light snow,90,100,1.79,9,0
Chewelah,02/23/21,20:42:00,48.2763,-117.7155,29.012000000000057,22.76600000000001,28.004000000000055,30.002000000000077,overcast clouds,80,100,1.28,26,41
Welches,02/23/21,20:42:00,45.3282,-121.9609,33.26000000000008,23.414000000000033,19.004000000000055,39.00200000000008,light snow,88,100,4.77,61,33
Lincoln,02/23/21,22:42:00,40.8,-96.667,42.98000000000004,33.13399999999999,39.00200000000008,46.4,clear sky,57,1,4.63,0,0
Ruidoso,02/23/21,21:42:00,33.3317,-105.673,48.2,34.10600000000003,48.2,48.2,clear sky,13,1,6.17,0,0
Tannersville,02/23/21,23:42:00,41.0401,-75.3057,35.780000000000044,22.67600000000009,33.008,39.992,clear sky,75,1,7.2,0,0
Donnelly,02/23/21,21:42:00,55.7293,-117.1095,23.954000000000054,7.178000000000065,19.994000000000074,28.4,light snow,80,90,9.26,10,0
Windham,02/23/21,23:42:00,41.8334,-72.0001,38.21000000000008,29.06600000000001,37.004000000000055,39.2,overcast clouds,70,90,4.12,9,24
Flagstaff,02/23/21,21:42:00,35.1981,-111.6513,37.43600000000007,30.452000000000076,35.00600000000003,42.008,clear sky,48,1,1.54,0,0
Government Camp,02/23/21,20:42:00,45.3041,-121.7548,28.778000000000066,16.682000000000016,19.004000000000055,35.99600000000005,snow,94,100,6.26,97,98
Driggs,02/23/21,23:42:00,43.7233,-111.1113,14.954000000000054,6.152000000000079,12.2,19.4,light snow,92,75,2.57,0,0
Ellicottville,02/23/21,23:42:00,42.2751,-78.6728,32.66600000000001,25.952000000000076,32.0,33.008,broken clouds,100,75,2.57,78,88
Franconia,02/23/21,23:42:00,38.7821,-77.1464,37.58000000000004,31.604000000000052,33.8,41.0,clear sky,80,1,1.91,0,0
Lutsen,02/23/21,22:42:00,47.6471,-90.6749,30.632000000000016,23.68399999999999,28.004000000000055,35.6,overcast clouds,64,90,1.54,11,0
Nederland,02/23/21,22:42:00,29.9744,-93.9924,54.122000000000035,49.694000000000074,53.6,55.4,clear sky,94,1,4.12,0,0
Silverthorne,02/23/21,21:42:00,39.6321,-106.0743,15.116000000000007,0.6980000000000253,10.399999999999999,19.4,light snow,68,1,6.69,19,0
Killington,02/23/21,04:42:00,54.295,-2.5947,49.73000000000004,46.63399999999999,46.99400000000007,51.998000000000026,moderate rain,96,100,2.24,0,0
