closest_town,date,time,weather_lat,weather_lon,temperature,feels_like,temp_min,temp_max,temp_description,humidity,cloudiness,wind_speed,daily_chance_snow,hourly_chance_snow
Ten Sleep,02/23/21,21:43:00,44.0342,-107.448,23.0,17.168000000000085,23.0,23.0,overcast clouds,75,100,0.41,41,0
Hood River,02/23/21,20:43:00,45.7054,-121.5215,37.004000000000055,31.712000000000057,35.00600000000003,39.00200000000008,broken clouds,87,75,1.54,45,83
Speculator,02/23/21,23:43:00,43.4975,-74.362,35.33000000000004,30.452000000000076,33.008,37.004000000000055,overcast clouds,83,86,0.89,64,99
Scranton,02/23/21,23:43:00,41.409,-75.6624,36.122000000000035,25.86200000000006,32.0,39.2,broken clouds,65,75,4.63,34,41
Enfield,02/23/21,23:43:00,-34.8526,138.6026,70.05200000000008,58.424000000000014,68.0,71.99600000000005,clear sky,40,0,8.23,39,67
Truckee,02/23/21,20:42:00,39.328,-120.1833,29.10200000000008,21.50600000000003,23.0,35.00600000000003,clear sky,68,1,2.06,0,0
La Cañada Flintridge,02/23/21,20:43:00,34.1992,-118.1879,62.15,57.668000000000085,59.0,66.2,clear sky,26,1,0.18,0,0
Glens Falls,02/23/21,23:43:00,43.3095,-73.644,34.754000000000055,27.35600000000003,32.0,37.4,overcast clouds,75,90,2.57,23,79
Weston,02/23/21,06:43:00,26.1004,-80.3998,71.816,72.392,71.00600000000003,73.00400000000005,clear sky,78,1,3.6,0,0
Iron Mountain,02/23/21,20:43:00,45.8202,-88.066,34.86200000000006,26.366000000000007,33.998000000000026,35.99600000000005,light snow,64,90,3.09,0,0
Fairfield,02/23/21,20:43:00,41.2668,-73.3162,41.09000000000002,30.32600000000009,39.00200000000008,42.8,clear sky,56,1,5.14,0,0
Marquette,02/23/21,23:43:00,46.5333,-87.6335,30.65,25.412000000000056,28.994000000000074,32.0,overcast clouds,82,100,0.68,22,0
Baker City,02/23/21,20:43:00,44.7749,-117.8344,29.26400000000003,21.05600000000003,28.004000000000055,30.2,snow,69,20,2.57,41,27
Baker City,02/23/21,20:43:00,44.7749,-117.8344,29.26400000000003,21.05600000000003,28.004000000000055,30.2,snow,69,20,2.57,41,27
Gaylord,02/23/21,23:43:00,45.0275,-84.6748,32.918000000000085,26.6,32.0,33.8,light snow,75,75,1.54,0,0
Bangor,02/23/21,04:43:00,54.6534,-5.669,48.56000000000008,35.24000000000002,48.00200000000008,50.0,overcast clouds,71,100,8.75,0,0
Cornwall,02/23/21,23:43:00,45.0181,-74.7281,36.28399999999999,25.844000000000072,35.6,37.4,overcast clouds,75,90,5.14,43,52
Arrondissement du Havre,02/23/21,05:43:00,49.5833,0.3333,53.6,46.23800000000004,53.6,53.6,clear sky,76,0,5.14,0,0
Scranton,02/23/21,23:43:00,41.409,-75.6624,36.122000000000035,25.86200000000006,32.0,39.2,broken clouds,65,75,4.63,34,41
Pittsfield,02/23/21,23:43:00,42.4501,-73.2454,36.320000000000064,23.504000000000055,35.00600000000003,37.004000000000055,overcast clouds,80,90,7.2,47,69
Henryville,02/23/21,23:43:00,38.5417,-85.7677,35.63600000000007,27.464000000000034,33.008,37.99400000000007,clear sky,68,0,3.04,0,0
Caroga Lake,02/23/21,23:43:00,43.1378,-74.4813,35.87000000000006,22.874000000000013,35.6,35.99600000000005,light rain,93,90,7.72,67,86
Mariposa,02/23/21,22:43:00,37.4849,-119.9663,44.54600000000005,41.648000000000025,35.99600000000005,51.008,clear sky,82,0,0.45,0,0
Hastings,02/23/21,04:43:00,50.8552,0.5729,50.09000000000002,42.58399999999999,48.00200000000008,51.008,overcast clouds,73,100,4.47,0,0
Massanutten,02/23/21,23:43:00,38.4096,-78.7378,36.21200000000006,28.18399999999999,35.00600000000003,39.2,clear sky,56,1,2.57,0,0
Durango,02/23/21,05:42:00,24.8333,-104.8333,56.33600000000007,49.02800000000006,56.33600000000007,56.33600000000007,broken clouds,37,62,2.78,0,0
Schwenksville,02/23/21,23:43:00,40.2562,-75.4638,41.0,34.10600000000003,41.0,41.0,clear sky,56,1,2.06,0,0
Lewisberry,02/23/21,23:43:00,40.1351,-76.8597,39.092,31.802000000000078,35.00600000000003,42.8,clear sky,52,1,2.06,0,0
La Crosse,02/23/21,22:43:00,43.8014,-91.2396,37.346000000000046,30.920000000000062,35.6,39.00200000000008,clear sky,75,1,2.06,17,24
Oroville,02/23/21,20:43:00,39.5138,-121.5564,59.18000000000004,51.242,57.00200000000008,60.8,clear sky,31,1,3.09,0,0
Summerhaven,02/23/21,21:43:00,32.4448,-110.7606,54.62600000000009,47.516000000000005,51.008,59.0,clear sky,19,0,1.23,0,0
Jennerstown,02/23/21,23:43:00,40.1598,-79.0664,35.38399999999999,19.832000000000015,33.008,37.004000000000055,clear sky,80,1,9.26,10,58
Norway,02/23/21,05:43:00,45.7869,-87.9037,34.952000000000076,26.47400000000001,33.998000000000026,35.99600000000005,light snow,64,90,3.09,0,0
Rumford,02/23/21,23:43:00,44.5537,-70.5509,31.298000000000023,25.64600000000005,30.002000000000077,33.008,overcast clouds,92,100,1.35,19,82
Elkhorn,02/23/21,22:43:00,42.6728,-88.5445,35.40200000000008,26.294000000000075,35.00600000000003,35.6,clear sky,80,1,4.15,19,0
Iron River,02/23/21,21:43:00,46.0927,-88.6423,33.26000000000008,27.518000000000086,33.008,33.8,snow,75,90,1.12,16,0
Iron River,02/23/21,21:43:00,46.0927,-88.6423,33.26000000000008,27.518000000000086,33.008,33.8,snow,75,90,1.12,16,0
Waynesville,02/23/21,23:43:00,35.4887,-82.9887,43.17800000000007,36.14000000000002,42.008,44.6,clear sky,49,1,2.06,0,0
Las Vegas,02/23/21,20:43:00,36.175,-115.1372,64.058,52.10600000000003,59.0,69.8,clear sky,9,1,4.63,0,0
Casper,02/23/21,21:43:00,42.8666,-106.3131,25.898000000000025,16.591999999999995,24.998000000000026,26.6,overcast clouds,63,90,3.09,28,0
Old Forge,02/23/21,04:43:00,41.3712,-75.7349,36.122000000000035,25.86200000000006,32.0,39.2,broken clouds,65,75,4.63,0,0
Middlefield,02/23/21,04:43:00,41.462,-81.0737,34.98800000000004,30.614000000000033,33.998000000000026,35.99600000000005,overcast clouds,83,92,0.45,0,0
Camden,02/23/21,23:43:00,39.7835,-74.9663,44.6,36.248000000000026,44.6,44.6,clear sky,57,1,3.6,0,0
Southington,02/23/21,04:43:00,41.6005,-72.8783,39.50600000000003,33.13399999999999,37.004000000000055,42.8,overcast clouds,70,90,2.06,0,0
Mansfield,02/23/21,04:43:00,53.1333,-1.2,53.99600000000005,49.80200000000008,53.99600000000005,53.99600000000005,overcast clouds,89,100,3.58,0,0
Cordoba,02/23/21,01:43:00,38.0,-4.8333,39.2,36.17600000000009,39.2,39.2,clear sky,100,0,0.51,0,0
Mars Hill,02/23/21,22:43:00,35.8265,-82.5493,41.68399999999999,36.28399999999999,39.00200000000008,44.00600000000003,few clouds,55,17,0.89,0,0
White Lake,02/23/21,23:43:00,45.3668,-76.4994,35.00600000000003,26.114000000000033,33.998000000000026,35.99600000000005,broken clouds,89,76,4.23,34,43
Naples,02/23/21,05:43:00,40.8333,14.25,48.056000000000026,46.99400000000007,41.0,51.998000000000026,clear sky,100,0,0.51,0,0
Paoli,02/23/21,05:43:00,40.042,-75.4763,37.45400000000005,30.59600000000005,35.00600000000003,41.0,clear sky,65,1,2.06,0,0
Zanesfield,02/23/21,23:43:00,40.3384,-83.6772,33.71000000000008,24.062000000000058,32.0,35.6,clear sky,87,1,4.63,0,0
Thompsonville,02/23/21,23:43:00,41.997,-72.599,39.668000000000085,29.42600000000009,39.00200000000008,41.0,overcast clouds,70,90,5.14,0,0
Westford,02/23/21,23:43:00,42.5793,-71.4378,35.27600000000009,25.988000000000046,33.008,37.99400000000007,scattered clouds,75,40,4.12,0,52
Keene,02/23/21,23:43:00,42.9337,-72.2781,32.57600000000009,26.491999999999997,32.0,33.998000000000026,overcast clouds,100,90,2.06,18,27
Harrisonburg,02/23/21,23:43:00,38.4496,-78.8689,36.35600000000003,28.328000000000067,35.00600000000003,39.2,clear sky,56,1,2.57,0,0
East Madison,02/23/21,23:43:00,43.8606,-71.0881,34.86200000000006,28.52600000000009,33.998000000000026,35.6,overcast clouds,69,90,1.54,8,47
Clarkston,02/23/21,04:43:00,33.8096,-84.2396,47.67800000000007,42.62000000000006,44.6,51.998000000000026,clear sky,65,1,1.74,0,0
Los Alamos,02/23/21,21:43:00,35.8881,-106.307,36.96800000000009,28.760000000000083,33.008,42.8,clear sky,36,1,2.06,0,0
Los Alamos,02/23/21,21:43:00,35.8881,-106.307,36.96800000000009,28.760000000000083,33.008,42.8,clear sky,36,1,2.06,0,0
Hancock,02/23/21,23:43:00,41.0167,-83.6666,34.772000000000034,24.98000000000004,32.0,35.99600000000005,clear sky,80,1,4.63,8,41
Cambridge Springs,02/23/21,23:43:00,41.8037,-80.0564,34.28600000000007,25.88000000000004,33.998000000000026,35.00600000000003,overcast clouds,83,98,3.58,38,67
White River Junction,02/23/21,23:43:00,43.649,-72.3193,33.8,26.438000000000045,30.991999999999997,37.4,overcast clouds,70,90,2.29,32,71
Wrightwood,02/23/21,20:43:00,34.3608,-117.6334,48.14600000000005,42.728000000000065,41.0,55.004000000000055,scattered clouds,51,31,1.34,0,0
Eureka,02/23/21,20:43:00,40.8021,-124.1637,45.391999999999996,39.77600000000009,42.008,48.00200000000008,clear sky,81,0,2.68,0,0
Brighton,02/23/21,04:43:00,50.8284,-0.1395,50.99000000000002,45.62600000000009,50.0,51.998000000000026,overcast clouds,84,100,3.58,0,0
Warwick,02/23/21,23:43:00,41.7001,-71.4162,38.19199999999999,32.162000000000056,37.4,39.2,broken clouds,81,75,2.06,0,0
Wild Rose,02/23/21,22:43:00,44.1786,-89.249,36.266000000000005,27.01400000000003,33.998000000000026,37.4,overcast clouds,70,90,4.02,8,27
Boone,02/23/21,23:43:00,39.0334,-92.3335,51.51200000000006,43.43000000000004,51.008,51.8,clear sky,46,1,3.51,0,0
Gatlinburg,02/23/21,23:43:00,35.7143,-83.5102,39.72200000000004,34.25,35.99600000000005,42.008,clear sky,81,1,1.79,0,0
Wilmot,02/23/21,15:44:00,43.4517,-71.9137,32.846000000000046,28.13000000000004,30.991999999999997,33.998000000000026,broken clouds,96,63,0.89,0,0
Fairbanks,02/23/21,19:44:00,64.8378,-147.7164,1.1480000000000246,-6.051999999999978,-0.003999999999948045,3.002000000000077,light snow,71,90,0.53,20,0
Fairbanks,02/23/21,19:44:00,64.8378,-147.7164,1.1480000000000246,-6.051999999999978,-0.003999999999948045,3.002000000000077,light snow,71,90,0.53,20,0
Bellaire,02/23/21,22:43:00,29.7058,-95.4588,59.95400000000005,50.95400000000005,57.992,62.00600000000003,broken clouds,82,75,8.23,0,0
Anchorage,02/23/21,19:42:00,61.2181,-149.9003,15.674000000000014,7.754000000000055,15.008000000000003,17.99600000000005,overcast clouds,67,90,1.54,0,0
Andalusia,02/23/21,06:44:00,31.3085,-86.4833,52.28600000000007,47.55200000000008,48.00200000000008,55.4,clear sky,50,1,1.19,0,0
Farmington,02/23/21,23:44:00,36.7281,-108.2187,42.008,32.702000000000076,41.0,42.998000000000026,clear sky,45,1,3.6,0,0
Salmo,02/23/21,20:44:00,49.1999,-117.2689,32.0,27.05,32.0,32.0,overcast clouds,80,100,0.51,0,0
Weston,02/23/21,06:43:00,26.1004,-80.3998,71.816,72.392,71.00600000000003,73.00400000000005,clear sky,78,1,3.6,0,0
Weston,02/23/21,06:43:00,26.1004,-80.3998,71.816,72.392,71.00600000000003,73.00400000000005,clear sky,78,1,3.6,0,0
Sheridan,02/23/21,21:44:00,44.8333,-106.9173,27.53600000000007,16.664000000000033,26.6,28.994000000000074,clear sky,50,1,4.12,39,0
Taylors Falls,02/23/21,22:44:00,45.4019,-92.6525,35.06000000000008,27.140000000000022,33.998000000000026,35.99600000000005,light snow,93,90,3.6,27,75
Kimball,02/23/21,20:44:00,41.2,-103.7172,30.2,18.35600000000003,30.2,30.2,overcast clouds,74,90,5.66,0,0
Gaylord,02/23/21,23:43:00,45.0275,-84.6748,32.918000000000085,26.6,32.0,33.8,light snow,75,75,1.54,0,0
Auburn,02/23/21,22:44:00,47.3073,-122.2284,36.860000000000085,30.83000000000004,33.008,39.992,light rain,100,90,2.57,0,0
Sioux Falls,02/23/21,22:44:00,43.55,-96.7003,38.73200000000001,31.19000000000002,37.99400000000007,39.2,few clouds,75,20,3.09,0,0
Hanover,02/23/21,05:44:00,52.3705,9.7332,52.17800000000007,47.73200000000001,51.008,53.00600000000003,clear sky,76,0,2.57,0,0
Manchester,02/23/21,04:44:00,53.4809,-2.2374,53.34800000000003,47.48000000000004,51.998000000000026,53.99600000000005,light rain,87,90,4.63,0,0
Elko,02/23/21,20:44:00,41.0002,-115.5012,30.794000000000075,20.678000000000065,28.994000000000074,33.8,clear sky,47,1,3.6,0,0
Slinger,02/23/21,22:44:00,43.3336,-88.2862,36.788000000000046,30.182000000000016,35.99600000000005,37.004000000000055,overcast clouds,78,100,2.24,0,23
Duluth,02/23/21,22:43:00,46.7833,-92.1066,34.556000000000026,27.140000000000022,32.0,37.4,light snow,75,90,2.57,24,23
Kalispell,02/23/21,21:44:00,48.1958,-114.3129,27.554000000000052,21.14600000000005,26.6,28.004000000000055,few clouds,68,20,1.01,33,58
Otis,02/23/21,00:44:00,42.1932,-73.0918,35.041999999999994,29.678000000000065,33.998000000000026,35.99600000000005,overcast clouds,86,86,1.34,21,0
Libby,02/23/21,12:44:00,48.3883,-115.556,28.382000000000016,22.946000000000048,26.99600000000005,30.2,clear sky,80,1,0.58,0,0
Libby,02/23/21,12:44:00,48.3883,-115.556,28.382000000000016,22.946000000000048,26.99600000000005,30.2,clear sky,80,1,0.58,0,0
Walhalla,02/23/21,15:44:00,34.7648,-83.064,45.71600000000001,38.641999999999996,39.00200000000008,51.998000000000026,clear sky,40,1,1.87,0,0
Morris,02/23/21,23:44:00,40.8334,-74.5329,38.498000000000026,27.212000000000057,37.004000000000055,41.0,clear sky,65,1,5.66,0,0
Silverton,02/23/21,15:14:00,45.0051,-122.7832,40.04600000000005,34.898000000000025,37.99400000000007,42.008,overcast clouds,75,99,1.34,0,0
Allentown,02/23/21,23:43:00,40.6084,-75.4902,40.694000000000074,32.288000000000046,39.992,41.0,clear sky,65,1,3.6,0,0
Traverse City,02/23/21,23:44:00,44.7631,-85.6206,36.01400000000003,27.89600000000005,32.0,39.2,overcast clouds,70,90,3.09,34,70
Steamboat Springs,02/23/21,21:42:00,40.485,-106.8317,22.244000000000074,14.144000000000073,12.2,26.6,overcast clouds,43,90,1.54,28,0
Kewaskum,02/23/21,22:44:00,43.5208,-88.229,36.518000000000086,30.50600000000003,35.6,37.004000000000055,overcast clouds,87,90,2.06,31,90
Lee,02/23/21,23:44:00,26.567,-81.8831,67.06400000000004,69.08000000000004,64.99400000000007,69.00800000000001,clear sky,88,1,2.06,0,0
Dresser,02/23/21,20:44:00,45.3561,-92.6335,35.15,27.248000000000026,33.998000000000026,35.99600000000005,light snow,93,90,3.6,0,0
Chesterland,02/23/21,23:44:00,41.5223,-81.3379,37.59800000000003,28.382000000000016,35.99600000000005,39.2,clear sky,70,1,4.12,8,0
Idaho Springs,02/23/21,21:44:00,39.7425,-105.5136,30.11000000000008,-0.615999999999957,10.399999999999999,39.992,clear sky,52,1,20.06,9,0
Bloomington,02/23/21,22:44:00,44.8408,-93.2983,35.20400000000005,28.508000000000003,33.998000000000026,35.99600000000005,broken clouds,75,75,2.06,20,0
Scranton,02/23/21,23:43:00,41.409,-75.6624,36.122000000000035,25.86200000000006,32.0,39.2,broken clouds,65,75,4.63,34,41
Greenwich,02/23/21,23:44:00,41.0265,-73.6285,40.29800000000002,28.85,39.2,41.0,broken clouds,70,75,6.17,0,0
Wisconsin Dells,02/23/21,22:44:00,43.6275,-89.771,36.932000000000016,29.156000000000027,35.6,37.99400000000007,broken clouds,75,75,3.09,0,21
Campton,02/23/21,04:44:00,37.7342,-83.5474,41.57600000000009,34.86200000000006,35.00600000000003,48.2,clear sky,46,1,1.54,0,0
Lewiston,02/23/21,23:44:00,44.1003,-70.2148,29.858000000000004,23.99000000000002,28.4,33.008,overcast clouds,93,90,1.4,0,55
Harrison,02/23/21,23:44:00,30.4091,-89.0436,49.11800000000009,44.69000000000002,46.4,51.008,clear sky,87,1,2.67,0,0
Plymouth,02/23/21,04:44:00,41.8334,-70.8328,35.978000000000065,25.7,33.998000000000026,37.99400000000007,clear sky,80,1,5.14,0,0
Greenfield,02/23/21,22:44:00,42.9614,-88.0126,36.30200000000008,29.10200000000008,35.00600000000003,37.99400000000007,overcast clouds,75,90,2.57,0,0
Clymer,02/23/21,23:44:00,40.6681,-79.0117,34.483999999999995,27.89600000000005,33.008,37.004000000000055,clear sky,80,1,2.06,26,95
Hubertus,02/23/21,05:44:00,52.2309,11.7986,46.47200000000004,43.772000000000034,46.004000000000055,46.99400000000007,few clouds,88,11,0.89,0,0
Detroit Lakes,02/23/21,22:44:00,46.8172,-95.8453,30.11000000000008,17.833999999999993,30.002000000000077,30.2,snow,100,90,6.69,36,0
Mahwah,02/23/21,10:14:00,27.05,76.9333,80.56400000000004,73.79600000000005,80.56400000000004,80.56400000000004,clear sky,15,0,2.17,0,0
Lewiston,02/23/21,23:44:00,44.1003,-70.2148,29.858000000000004,23.99000000000002,28.4,33.008,overcast clouds,93,90,1.4,0,55
Bangor,02/23/21,04:44:00,54.6534,-5.669,48.56000000000008,35.24000000000002,48.00200000000008,50.0,overcast clouds,71,100,8.75,0,0
Colebrook,02/23/21,15:44:00,44.8945,-71.4959,30.05600000000003,23.39600000000005,28.994000000000074,30.991999999999997,light snow,93,90,2.05,0,0
Utica,02/23/21,23:44:00,43.1009,-75.2327,35.99600000000005,26.672000000000036,35.00600000000003,37.004000000000055,overcast clouds,69,100,4.02,82,99
Kingston,02/23/21,23:44:00,17.997,-76.7936,74.28200000000001,77.21600000000001,69.99800000000002,78.8,few clouds,78,20,2.57,0,0
Buffalo,02/23/21,23:44:00,42.8865,-78.8784,35.90600000000003,23.666000000000007,35.00600000000003,37.004000000000055,broken clouds,80,75,6.69,25,66
Nisswa,02/23/21,22:44:00,46.5205,-94.2886,31.838000000000044,24.494000000000074,30.991999999999997,33.8,light snow,86,90,2.57,33,0
Jackson,02/23/21,23:42:00,42.4165,-122.8345,40.748000000000026,34.898000000000025,39.00200000000008,44.6,overcast clouds,53,90,1.09,0,0
Tupper Lake,02/23/21,23:44:00,44.2239,-74.4641,33.008,24.728000000000065,33.008,33.008,light snow,76,100,3.13,82,99
Minneapolis,02/23/21,22:44:00,44.98,-93.2638,35.582000000000015,28.922000000000036,35.00600000000003,35.99600000000005,broken clouds,75,75,2.06,9,0
Shrewsbury,02/23/21,04:44:00,52.7101,-2.7521,53.564000000000036,43.80800000000001,51.998000000000026,55.004000000000055,broken clouds,94,75,8.23,0,0
Baraboo,02/23/21,22:44:00,43.4711,-89.7443,36.23000000000004,28.364000000000033,35.6,37.4,broken clouds,75,75,3.09,0,0
Blakeslee,02/23/21,23:44:00,41.5242,-84.7302,32.702000000000076,27.068000000000087,30.991999999999997,33.998000000000026,overcast clouds,87,100,1.34,0,0
Davis,02/23/21,20:44:00,41.0005,-112.0013,31.55,23.720000000000063,30.002000000000077,33.998000000000026,clear sky,55,1,2.06,0,0
Kimberly,02/23/21,14:44:00,44.2722,-88.339,35.438000000000045,29.174000000000014,33.998000000000026,35.99600000000005,broken clouds,69,75,1.54,0,0
Ontonagon,02/23/21,23:44:00,46.8711,-89.314,31.910000000000082,26.582000000000015,30.002000000000077,33.998000000000026,light snow,83,100,0.89,16,55
Woodbury,02/23/21,22:44:00,42.3833,-96.0336,40.40600000000003,32.46800000000009,39.2,42.008,clear sky,75,1,3.6,9,0
Lakeview,02/23/21,04:44:00,42.432,-75.8655,35.47400000000001,29.732000000000017,33.998000000000026,37.004000000000055,overcast clouds,89,97,1.79,0,0
Upson,02/23/21,22:44:00,46.3688,-90.4071,34.43000000000004,29.3,32.0,37.4,snow,80,90,0.9,21,33
Ironwood,02/23/21,22:44:00,46.4547,-90.171,31.55,26.204000000000054,30.991999999999997,32.0,snow,80,90,0.79,42,99
Province of Turin,02/23/21,23:44:00,45.1333,7.3667,45.104000000000056,39.84800000000003,42.8,46.004000000000055,clear sky,75,0,2.06,0,0
Wakefield,02/23/21,04:44:00,53.6809,-1.499,55.22000000000006,50.918000000000085,55.004000000000055,55.99400000000007,overcast clouds,84,100,3.58,0,0
Somerset,02/23/21,06:44:00,40.5668,-74.5496,42.242,34.84400000000007,41.0,42.8,clear sky,56,1,2.57,0,0
Cloudcroft,02/23/21,21:44:00,32.9577,-105.7427,51.49400000000007,36.08600000000007,48.992,55.99400000000007,clear sky,5,0,6.82,0,0
Greer,02/23/21,23:44:00,34.9387,-82.2271,45.194000000000074,38.66000000000008,42.008,50.0,clear sky,43,1,1.54,0,0
Bottineau,02/23/21,22:44:00,48.8272,-100.4457,23.0,17.18600000000007,23.0,23.0,broken clouds,78,71,0.45,38,0
Coudersport,02/23/21,23:44:00,41.7748,-78.0206,33.65600000000003,24.368000000000087,33.008,33.998000000000026,overcast clouds,80,90,4.12,72,87
Summit Park,02/23/21,23:44:00,40.7458,-111.6116,28.994000000000074,23.09000000000002,28.004000000000055,30.002000000000077,clear sky,58,0,0.45,0,0
Warrensburg,02/23/21,22:44:00,38.7628,-93.7361,45.75200000000008,40.15400000000005,44.00600000000003,48.00200000000008,clear sky,57,1,1.54,0,0
Fabius,02/23/21,22:44:00,41.9106,-85.7217,35.168000000000085,27.374000000000013,33.8,35.99600000000005,clear sky,80,1,3.09,0,0
Holly,02/23/21,23:44:00,42.792,-83.6277,35.65400000000005,26.81600000000001,35.00600000000003,35.99600000000005,overcast clouds,83,100,4.06,0,0
Sussex,02/23/21,22:44:00,41.1834,-74.6663,39.86600000000001,28.31000000000008,37.004000000000055,42.8,clear sky,56,1,5.66,9,0
Bartlett,02/23/21,22:44:00,35.2045,-89.874,54.14000000000002,46.97600000000009,51.998000000000026,55.99400000000007,clear sky,54,1,3.6,0,0
Silverton,02/23/21,15:14:00,45.0051,-122.7832,40.04600000000005,34.898000000000025,37.99400000000007,42.008,overcast clouds,75,99,1.34,0,0
Park City,02/23/21,12:42:00,42.3484,-87.8842,39.2,31.478000000000065,39.2,39.2,scattered clouds,70,40,3.09,0,0
Red Lodge,02/23/21,04:44:00,45.1858,-109.2468,25.448000000000025,14.522000000000038,21.2,28.994000000000074,clear sky,53,1,4.12,0,0
East Rutherford,02/23/21,23:44:00,40.834,-74.0971,43.64600000000005,36.03200000000002,42.8,44.6,overcast clouds,61,90,3.1,0,0
Red Wing,02/23/21,22:44:00,44.5625,-92.5338,36.23000000000004,29.10200000000008,35.00600000000003,37.99400000000007,overcast clouds,80,90,2.67,8,21
Farmington,02/23/21,23:44:00,36.7281,-108.2187,42.008,32.702000000000076,41.0,42.998000000000026,clear sky,45,1,3.6,0,0
Pylos,02/23/21,06:44:00,36.9134,21.6964,44.54600000000005,40.17200000000004,37.4,51.008,clear sky,93,0,2.14,0,0
Fort Kent,02/23/21,21:44:00,47.2587,-68.5895,28.706000000000028,21.452000000000076,26.6,30.2,overcast clouds,80,90,2.06,28,0
New Hartford,02/23/21,23:44:00,43.0734,-75.2877,36.42800000000007,31.82000000000006,35.00600000000003,37.99400000000007,overcast clouds,86,100,0.89,56,95
Dubuque,02/23/21,22:44:00,42.4833,-90.8668,39.65,28.994000000000074,37.4,41.0,clear sky,75,1,5.66,0,0
Boone,02/23/21,23:43:00,39.0334,-92.3335,51.51200000000006,43.43000000000004,51.008,51.8,clear sky,46,1,3.51,0,0
Springfield,02/23/21,23:44:00,37.2153,-93.2982,54.82400000000001,44.312000000000054,53.99600000000005,55.4,clear sky,44,1,5.66,0,0
Rice Lake,02/23/21,22:44:00,45.5061,-91.7382,33.22400000000001,26.222000000000037,32.0,33.8,light snow,93,90,2.65,36,78
Enterprise,02/23/21,22:44:00,36.0252,-115.2419,62.168000000000085,52.32200000000004,59.0,66.99199999999999,scattered clouds,11,40,3.09,0,0
Port Angeles,02/23/21,20:44:00,48.1181,-123.4307,38.96600000000001,24.314000000000032,35.99600000000005,42.8,overcast clouds,61,90,8.23,44,76
Hailey,02/23/21,23:44:00,43.5196,-114.3153,24.8,16.358000000000004,24.8,24.8,clear sky,50,1,2.06,57,76
Susanville,02/23/21,20:44:00,40.4163,-120.653,34.46600000000001,25.412000000000056,33.008,35.6,clear sky,51,1,3.09,0,0
Grangeville,02/23/21,20:44:00,45.9266,-116.1224,26.27600000000009,16.754000000000055,19.994000000000074,28.994000000000074,snow,100,75,4.12,0,0
Boston,02/23/21,23:43:00,42.3584,-71.0598,36.75200000000008,24.404000000000053,35.00600000000003,37.99400000000007,few clouds,75,20,6.69,0,58
Mount Horeb,02/23/21,23:44:00,43.0086,-89.7385,36.733999999999995,29.588000000000044,35.00600000000003,37.99400000000007,scattered clouds,75,40,2.57,0,0
Grand Haven,02/23/21,23:44:00,43.0631,-86.2284,36.320000000000064,28.72400000000001,35.00600000000003,37.4,overcast clouds,81,90,3.09,20,33
Hot Springs,02/23/21,22:44:00,34.5037,-93.0552,60.26000000000008,54.59000000000002,57.00200000000008,62.6,clear sky,39,1,2.06,0,0
Rock Hill,02/23/21,23:44:00,34.9249,-81.0251,42.188000000000045,37.72400000000001,41.0,44.00600000000003,clear sky,81,1,1.31,0,0
Glen Arbor,02/23/21,23:44:00,44.8975,-85.9854,35.69000000000002,28.4,32.0,39.2,overcast clouds,75,90,2.57,0,37
Cazenovia,02/23/21,22:44:00,42.9301,-75.8527,37.25600000000003,30.002000000000077,35.99600000000005,39.00200000000008,overcast clouds,87,100,3.13,0,0
Williams Lake,02/23/21,20:44:00,52.1415,-122.1445,24.35,16.664000000000033,24.008000000000003,24.8,scattered clouds,80,40,2.06,32,51
Boalsburg,02/23/21,23:44:00,40.7756,-77.7925,37.67000000000006,26.941999999999997,35.99600000000005,39.2,broken clouds,65,75,5.14,9,0
Boston,02/23/21,23:43:00,42.3584,-71.0598,36.75200000000008,24.404000000000053,35.00600000000003,37.99400000000007,few clouds,75,20,6.69,0,58
Birchwood,02/23/21,17:44:00,45.0611,-92.9761,35.438000000000045,30.956000000000028,35.00600000000003,35.99600000000005,broken clouds,80,75,0.49,0,0
Patterson,02/23/21,20:44:00,37.4716,-121.1297,55.70600000000003,46.958000000000006,53.99600000000005,57.2,clear sky,33,1,3.58,0,0
Gobles,02/23/21,23:44:00,42.3609,-85.8795,36.28399999999999,32.21600000000001,35.99600000000005,37.004000000000055,overcast clouds,86,100,0.45,0,0
Superior,02/23/21,22:44:00,46.7208,-92.1041,34.12400000000001,26.906000000000027,32.0,37.4,light snow,93,90,2.93,12,26
Mandan,02/23/21,22:44:00,46.8267,-100.8896,29.083999999999993,21.218000000000085,28.4,30.2,overcast clouds,100,90,3.09,40,0
Westernville,02/23/21,23:44:00,43.3056,-75.383,36.194000000000074,28.31000000000008,33.998000000000026,37.99400000000007,overcast clouds,75,90,3.09,82,99
Williamstown,02/23/21,23:44:00,39.6862,-74.9952,42.62000000000006,33.8,39.00200000000008,44.6,few clouds,53,20,3.6,0,0
Friendship,02/23/21,01:44:00,43.9837,-69.3339,32.306000000000026,25.52000000000006,30.991999999999997,33.998000000000026,broken clouds,93,75,2.38,0,0
Dubuque,02/23/21,22:44:00,42.4833,-90.8668,39.65,28.994000000000074,37.4,41.0,clear sky,75,1,5.66,0,0
Lyndon,02/23/21,23:44:00,38.2567,-85.6016,39.128000000000064,30.97400000000001,35.00600000000003,44.6,clear sky,56,1,2.9,0,0
