,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website,Latitude,Longtitude,date,time,weather_lat,weather_lon,temperature,feels_like,temp_min,temp_max,temp_description,humidity,cloudiness,wind_speed,daily_chance_snow,hourly_chance_snow
19,Alta,https://www.skiresort.info/ski-resort/alta/,125.0,Alta,,116.0,29.0,46.4,40.6,,,,,,02/23/21,10:42:00,69.9689,23.2717,17.6,3.956000000000029,17.6,17.6,few clouds,67.0,20.0,6.17,28.0,0.0
20,Buttermilk Mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/,199.0,Aspen,Aspen Snowmass,34.0,11.9,13.3,8.8,"[-106.8698646901408, 39.1908717267606]",,http://adf.ly/1UwDWa,-106.8698646901408,39.1908717267606,02/23/21,23:42:00,39.1911,-106.8175,24.8,14.630000000000043,24.8,24.8,clear sky,58.0,1.0,3.6,0.0,0.0
21,Jackson Hole,https://www.skiresort.info/ski-resort/jackson-hole/,182.0,Teton Village,Wyoming,116.0,16.0,50.0,50.0,,,,,,02/23/21,21:42:00,43.588,-110.82799999999999,14.540000000000019,6.368000000000088,10.004000000000056,19.4,light snow,93.0,90.0,2.06,49.0,0.0
22,Deer Valley,https://www.skiresort.info/ski-resort/deer-valley/,,Park City, read more,103.0,28.0,42.0,33.0,,,,,,02/23/21,12:42:00,42.3484,-87.8842,39.2,31.478000000000065,39.2,39.2,scattered clouds,70.0,40.0,3.09,0.0,0.0
23,Crested Butte,https://www.skiresort.info/ski-resort/crested-butte/,151.0,Mount Crested Butte,Colorado,121.0,31.4,69.0,20.6,,,,,,02/23/21,21:42:00,38.9077,-106.9691,28.130000000000038,18.194000000000074,24.8,32.0,clear sky,58.0,1.0,3.6,0.0,0.0
24,Powder Mountain,https://www.skiresort.info/ski-resort/powder-mountain/,99.0,Eden,Utah,135.0,30.0,50.0,55.0,"[-111.761971887196, 41.37719642034039]",Utah,,-111.761971887196,41.37719642034039,02/23/21,22:42:00,36.4885,-79.7667,37.904000000000046,33.11600000000001,33.8,44.996000000000045,clear sky,80.0,1.0,1.0,10.0,0.0
25,Whiteface – Lake Placid,https://www.skiresort.info/ski-resort/whiteface-lake-placid/,115.0,Lake Placid,The Adirondacks,37.0,12.8,15.9,8.3,,,,,,02/23/21,23:42:00,44.2795,-73.9799,30.722000000000037,21.541999999999994,30.002000000000077,32.0,light snow,93.0,90.0,4.12,0.0,0.0
26,Mt. Bachelor,https://www.skiresort.info/ski-resort/mt-bachelor/,169.0,Bend,Oregon,100.0,15.0,25.0,60.0,"[-121.6817521227555, 43.98672572878684]",Oregon,,-121.6817521227555,43.98672572878684,02/23/21,15:42:00,44.0582,-121.3153,31.22600000000009,18.35600000000003,28.994000000000078,33.8,clear sky,60.0,1.0,6.17,0.0,0.0
27,Northstar California Resort,https://www.skiresort.info/ski-resort/northstar-california-resort/,170.0,Truckee,Lake Tahoe,97.0,25.0,45.0,27.0,,,,,,02/23/21,20:42:00,39.328,-120.1833,29.102000000000075,21.506000000000032,23.0,35.006000000000036,clear sky,68.0,1.0,2.06,0.0,0.0
28,Yellowstone Club,https://www.skiresort.info/ski-resort/yellowstone-club/,,Yellowstone Club,Montana,80.0,30.0,30.0,20.0,"[-111.41113042831006, 45.24162672369199]",,http://www.theyellowstoneclub.com,-111.41113042831006,45.24162672369199,,,,,,,,,,,,,,
29,Snowbird,https://www.skiresort.info/ski-resort/snowbird/,165.0,Snowbird,Salt Lake City,103.0,27.0,38.0,38.0,,,,,,,,,,,,,,,,,,,
30,Bald Mountain – Sun Valley,https://www.skiresort.info/ski-resort/bald-mountain-sun-valley/,165.0,,Idaho,92.0,35.0,40.0,17.0,,,,,,,,,,,,,,,,,,,
31,Schweitzer Mountain Resort,https://www.skiresort.info/ski-resort/schweitzer-mountain-resort/,95.0,Sandpoint,Idaho,95.0,20.0,40.0,35.0,"[-116.62285366870098, 48.38072336697773]",,http://www.schweitzer.com/,-116.62285366870098,48.38072336697773,02/23/21,20:42:00,48.2766,-116.5533,25.79000000000002,20.156000000000027,12.991999999999996,30.2,clear sky,86.0,1.0,0.68,36.0,66.0
32,Arapahoe Basin,https://www.skiresort.info/ski-resort/arapahoe-basin/,158.0,Keystone,Colorado,105.0,40.0,25.0,40.0,"[-105.87583397427493, 39.6289031000935]",Colorado,http://www.arapahoebasin.com,-105.87583397427493,39.6289031000935,02/23/21,23:42:00,28.1558,-82.6212,56.49800000000002,52.75400000000007,53.00600000000003,60.99800000000002,clear sky,76.0,0.0,2.83,0.0,0.0
33,Mt. Hood Meadows,https://www.skiresort.info/ski-resort/mt-hood-meadows/,129.0,Government Camp,Oregon,90.0,13.5,45.0,31.5,,,,,,02/23/21,20:42:00,45.3041,-121.7548,28.778000000000066,16.682000000000016,19.00400000000005,35.996000000000045,snow,94.0,100.0,6.26,97.0,98.0
34,Stratton,https://www.skiresort.info/ski-resort/stratton/,125.0,Stratton,Vermont,92.0,60.0,20.0,12.0,,,,,,02/23/21,04:42:00,43.0429,-72.9109,32.702000000000076,27.698000000000025,30.992,33.998000000000026,overcast clouds,89.0,90.0,0.89,0.0,0.0
35,Wenatchee – Mission Ridge,https://www.skiresort.info/ski-resort/wenatchee-mission-ridge/,74.0,Wenatchee,Washington State,100.0,10.0,60.0,30.0,,,,,,02/23/21,20:42:00,47.4235,-120.3103,34.772000000000034,27.104000000000052,33.8,37.004000000000055,clear sky,80.0,1.0,2.95,19.0,53.0
36,Taos,https://www.skiresort.info/ski-resort/taos/,128.0,Taos Ski Valley,New Mexico,113.0,27.0,28.0,58.0,,,,,,02/23/21,21:42:00,36.596,-105.4545,32.28800000000005,18.374000000000013,26.996000000000052,37.4,clear sky,47.0,1.0,6.69,0.0,0.0
37,Mt. Rose,https://www.skiresort.info/ski-resort/mt-rose/,145.0,Reno,Lake Tahoe,100.0,20.0,30.0,50.0,,,,,,02/23/21,20:42:00,39.5296,-119.8138,38.94800000000002,30.992,35.6,42.99800000000002,clear sky,32.0,1.0,1.82,0.0,0.0
38,Aspen Mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,199.0,Aspen,Aspen Snowmass,103.0,0.0,49.0,54.0,"[-106.82188128782913, 39.170930057697404]",Colorado,http://www.aspensnowmass.com,-106.82188128782913,39.170930057697404,02/23/21,23:42:00,39.1911,-106.8175,24.8,14.630000000000043,24.8,24.8,clear sky,58.0,1.0,3.6,0.0,0.0
