,name,link,price,closest_town,region,zip,coordinates,total_len,easy_len,intermediate_len,difficult_len,state
155,Greek Peak,https://www.skiresort.info/ski-resort/greek-peak/,84.0,Virgil,Finger Lakes,13045,"[-76.19217, 42.591109]",19.0,9.0,4.0,6.0,New York
157,Mountain High West,https://www.skiresort.info/ski-resort/mountain-high-west/,84.0,Wrightwood,California,92397,"[-117.62752, 34.35876]",15.0,3.0,5.0,7.0,California
158,Spirit Mountain,https://www.skiresort.info/ski-resort/spirit-mountain/,59.0,Duluth,Minnesota,55810,"[-92.24355, 46.753414]",11.0,4.0,5.0,2.0,Minnesota
159,Bigrock Mountain,https://www.skiresort.info/ski-resort/bigrock-mountain/,40.0,Houlton,Maine,04758,"[-67.86655, 46.512409]",20.0,2.0,14.0,4.0,Maine
161,Shawnee Mountain,https://www.skiresort.info/ski-resort/shawnee-mountain/,65.0,Stroudsburg,Pennsylvania,18356,"[-75.09995, 41.010333]",18.0,4.0,9.0,5.0,Pennsylvania
162,Pine Creek,https://www.skiresort.info/ski-resort/pine-creek/,45.0,Cokeville,Wyoming,83114,"[-110.85188, 42.039281]",16.0,4.0,7.0,5.0,Wyoming
164,Kissing Bridge,https://www.skiresort.info/ski-resort/kissing-bridge/,60.0,Boston,Greater Niagara,14069,"[-78.64273, 42.601635]",17.8,4.5,4.8,8.5,New York
166,Hoodoo Ski Area,https://www.skiresort.info/ski-resort/hoodoo-ski-area/,59.0,Sisters,Oregon,97759,"[-121.54897, 44.322689]",17.0,6.0,8.0,3.0,Oregon
167,Alpental,https://www.skiresort.info/ski-resort/alpental/,95.0,North Bend,Washington State,98068,"[-121.39603, 47.397811]",9.6,0.5,2.3,6.8,Washington
169,Snowy Range,https://www.skiresort.info/ski-resort/snowy-range/,49.0,Centennial,Wyoming,82055,"[-106.17649, 41.33144]",16.5,4.5,9.0,3.0,Wyoming
170,Plattekill,https://www.skiresort.info/ski-resort/plattekill/,67.0,Roxbury,The Catskills,12474,"[-74.59011, 42.285644]",16.5,4.5,6.0,6.0,New York
171,Boyne Mountain,https://www.skiresort.info/ski-resort/boyne-mountain/,98.0,Boyne Falls,Michigan,49713,"[-84.86185, 45.206973]",14.0,4.5,6.0,3.5,Michigan
172,Blue Knob,https://www.skiresort.info/ski-resort/blue-knob/,75.0,Altoona,Pennsylvania,16625,"[-78.48646, 40.290914]",16.0,5.0,8.0,3.0,Pennsylvania
173,Nub's Nob Ski Area,https://www.skiresort.info/ski-resort/nubs-nob-ski-area/,85.0,Harbor Springs,Michigan,49740,"[-84.99025, 45.502308]",18.9,6.2,9.0,3.7,Michigan
174,Labrador Mountain,https://www.skiresort.info/ski-resort/labrador-mountain/,61.0,Tully,Finger Lakes,13158,"[-75.97209, 42.717801]",17.0,6.0,6.0,5.0,New York
175,Giants Ridge,https://www.skiresort.info/ski-resort/giants-ridge/,58.0,Biwabik,Minnesota,55708,"[-92.34084, 47.533314]",12.0,4.0,5.0,3.0,Minnesota
176,Middlebury College Snow Bowl,https://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,60.0,Hancock,Vermont,05753,"[-73.172, 44.006024]",15.0,5.0,4.0,6.0,Vermont
177,Pomerelle,https://www.skiresort.info/ski-resort/pomerelle/,45.0,Malta,Idaho,83311,"[-113.59744, 42.390977]",15.0,4.0,7.0,4.0,Idaho
178,Sipapu,https://www.skiresort.info/ski-resort/sipapu/,55.0,Vadito,New Mexico,87579,"[-105.56045, 36.160484]",18.0,3.0,7.0,8.0,New Mexico
179,Catamount,https://www.skiresort.info/ski-resort/catamount/,69.0,Great Barrington,Hudson Valley,12529,"[-73.54775, 42.204681]",15.0,8.0,4.0,3.0,New York
180,Beech Mountain,https://www.skiresort.info/ski-resort/beech-mountain/,70.0,Banner Elk,North Carolina,28604,"[-81.84672, 36.166515]",14.0,3.0,7.0,4.0,North Carolina
181,Sleeping Giant,https://www.skiresort.info/ski-resort/sleeping-giant/,46.0,Cody,Wyoming,82414,"[-109.20826, 44.566114]",17.0,3.0,8.0,6.0,Wyoming
182,Dollar Mountain – Sun Valley,https://www.skiresort.info/ski-resort/dollar-mountain-sun-valley/,139.0,,Idaho,83353,"[-114.18191, 43.661373]",9.0,7.0,2.0,0.0,Idaho
183,Whitetail,https://www.skiresort.info/ski-resort/whitetail/,79.0,Mercersburg,Pennsylvania,17236,"[-77.92889, 39.793293]",10.2,1.5,5.6,3.1,Pennsylvania
184,Mt. Ashland,https://www.skiresort.info/ski-resort/mt-ashland/,52.0,Ashland,Oregon,97520,"[-122.61772, 42.169751]",13.0,1.0,7.0,5.0,Oregon
185,Shanty Creek Resorts – Schuss Mountain,https://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,73.0,Bellaire,Michigan,49615,"[-85.21448, 44.970267]",12.0,5.0,4.0,3.0,Michigan
186,Kelly Canyon,https://www.skiresort.info/ski-resort/kelly-canyon/,42.0,Ririe,Idaho,83443,"[-111.59911, 43.570104]",12.0,4.0,5.0,3.0,Idaho
187,Jiminy Peak,https://www.skiresort.info/ski-resort/jiminy-peak/,91.0,Hancock,Massachusetts,01237,"[-73.24364, 42.557346]",9.1,4.1,2.0,3.0,Massachusetts
188,Song Mountain,https://www.skiresort.info/ski-resort/song-mountain/,59.0,Tully,Finger Lakes,13159,"[-76.12717, 42.802031]",13.0,4.5,6.0,2.5,New York
189,Crotched Mountain,https://www.skiresort.info/ski-resort/crotched-mountain/,69.0,Keene,New Hampshire,03442,"[-71.91635, 43.005429]",8.0,2.5,4.0,1.5,New Hampshire
190,Mt. Kato,https://www.skiresort.info/ski-resort/mt-kato/,46.0,Mankato,Minnesota,56001,"[-93.99388, 44.15644]",12.0,2.5,4.5,5.0,Minnesota
191,Loup Loup Ski Bowl,https://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,50.0,Twisp,Washington State,98840,"[-119.57656, 48.343356]",11.0,3.0,5.0,3.0,Washington
192,White Pine – Pinedale,https://www.skiresort.info/ski-resort/white-pine-pinedale/,49.0,Pinedale,Wyoming,82941,"[-109.85694, 42.874606]",11.6,3.7,2.6,5.3,Wyoming
193,Caberfae Peaks,https://www.skiresort.info/ski-resort/caberfae-peaks/,59.0,Cadillac,Michigan,49601,"[-85.46006, 44.243788]",11.0,4.0,5.0,2.0,Michigan
194,Tahoe Donner,https://www.skiresort.info/ski-resort/tahoe-donner/,89.0,Truckee,Lake Tahoe,96161,"[-120.22805, 39.339574]",14.0,6.0,8.0,0.0,California
196,Snow King Mountain – Jackson,https://www.skiresort.info/ski-resort/snow-king-mountain-jackson/,59.0,Jackson,Wyoming,83001,"[-110.75714, 43.468383]",9.0,3.0,2.5,3.5,Wyoming
197,Bear Creek Mountain Resort,https://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,60.0,Allentown,Pennsylvania,18062,"[-75.56515, 40.517304]",10.0,3.0,4.0,3.0,Pennsylvania
198,Bromley Mountain,https://www.skiresort.info/ski-resort/bromley-mountain/,91.0,Manchester,Vermont,05152,"[-72.88309, 43.24283]",45.0,15.0,18.0,12.0,Vermont
200,Swain,https://www.skiresort.info/ski-resort/swain/,59.0,Swain,Chautauqua-Allegheny,14884,"[-77.89514, 42.473556]",10.9,3.0,4.2,3.7,New York
201,Suicide Six,https://www.skiresort.info/ski-resort/suicide-six/,75.0,Woodstock,Vermont,05601,"[-72.559638, 44.19906]",10.5,3.5,4.0,3.0,Vermont
202,Teton Pass,https://www.skiresort.info/ski-resort/teton-pass/,50.0,Choteau,Montana,59422,"[-112.35083, 47.840047]",15.0,6.0,5.0,4.0,Montana
203,Meadowlark Ski Lodge,https://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,48.0,Ten Sleep,Wyoming,82442,"[-107.36569, 43.885863]",10.0,3.0,4.0,3.0,Wyoming
204,Cooper Spur,https://www.skiresort.info/ski-resort/cooper-spur/,39.0,Hood River,Oregon,97041,"[-121.59252, 45.503224]",10.0,4.0,4.0,2.0,Oregon
205,Oak Mountain,https://www.skiresort.info/ski-resort/oak-mountain/,40.0,Speculator,The Adirondacks,12164,"[-74.37431, 43.515611]",12.0,6.0,4.0,2.0,New York
206,Montage Mountain Resort,https://www.skiresort.info/ski-resort/montage-mountain-resort/,67.0,Scranton,Pennsylvania,18507,"[-75.71228, 41.35838]",9.5,2.0,4.0,3.5,Pennsylvania
207,Whaleback,https://www.skiresort.info/ski-resort/whaleback/,45.0,Enfield,New Hampshire,03748,"[-72.12058, 43.614847]",11.5,5.2,2.8,3.5,New Hampshire
208,Soda Springs,https://www.skiresort.info/ski-resort/soda-springs/,54.0,Truckee,Lake Tahoe,96160,"[-120.186383, 39.3781]",10.0,3.0,5.0,2.0,California
209,Mt. Waterman,https://www.skiresort.info/ski-resort/mt-waterman/,60.0,La Cañada Flintridge,California,91011,"[-118.19776, 34.211171]",10.0,2.0,2.0,6.0,California
210,West Mountain,https://www.skiresort.info/ski-resort/west-mountain/,79.0,Glens Falls,The Adirondacks,12804,"[-73.67816, 43.330471]",9.7,5.9,2.1,1.7,New York
211,Spout Springs  (temporarily closed),https://www.skiresort.info/ski-resort/spout-springs/,35.0,Weston,Oregon,97217,"[-122.68665, 45.574439]",9.5,3.0,5.0,1.5,Oregon
213,Liberty Mountain,https://www.skiresort.info/ski-resort/liberty-mountain/,77.0,Fairfield,Pennsylvania,17320,"[-77.37768, 39.759356]",9.0,3.0,4.0,2.0,Pennsylvania
215,Anthony Lakes Mountain Resort,https://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,40.0,Baker City,Oregon,97867,"[-117.96742, 45.048141]",10.0,2.0,3.8,4.2,Oregon
216,Otsego – Gaylord,https://www.skiresort.info/ski-resort/otsego-gaylord/,65.0,Gaylord,Michigan,49734,"[-84.612207, 45.028411]",7.0,3.0,2.0,2.0,Michigan
217,Big Squaw,https://www.skiresort.info/ski-resort/big-squaw/,30.0,Bangor,Maine,04442,"[-69.62773, 45.479835]",8.0,3.0,3.0,2.0,Maine
218,Mohawk Mountain,https://www.skiresort.info/ski-resort/mohawk-mountain/,67.0,Cornwall,Connecticut,06753,"[-73.332345, 41.828067]",8.0,3.0,2.0,3.0,Connecticut
219,Bear Paw Ski Bowl,https://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,25.0,Havre,Montana,59501,"[-109.78365, 48.584562]",10.0,3.0,6.0,1.0,Montana
220,Big Bear at Masthope Mountain,https://www.skiresort.info/ski-resort/big-bear-at-masthope-mountain/,64.0,Scranton,Pennsylvania,18435,"[-75.01149, 41.497511]",7.0,3.0,2.0,2.0,Pennsylvania
221,Bousquet,https://www.skiresort.info/ski-resort/bousquet/,47.0,Pittsfield,Massachusetts,01201,"[-73.254, 42.45384]",8.0,3.0,2.0,3.0,Massachusetts
222,Alpine Mountain Ski & Snow Tubing Center  (temporarily closed),https://www.skiresort.info/ski-resort/alpine-mountain-ski-snow-tubing-center/,55.0,Henryville,Pennsylvania,18320,"[-75.236436, 41.071213]",8.0,2.0,4.0,2.0,Pennsylvania
223,Royal Mountain,https://www.skiresort.info/ski-resort/royal-mountain/,45.0,Caroga Lake,Capital-Saratoga Region,12032,"[-74.49646, 43.158567]",7.5,2.5,3.0,2.0,New York
224,Badger Pass,https://www.skiresort.info/ski-resort/badger-pass/,62.0,Mariposa,California,95389,"[-119.67529, 37.699662000000004]",10.0,3.5,5.0,1.5,California
225,Afton Alps,https://www.skiresort.info/ski-resort/afton-alps/,58.0,Hastings,Minnesota,55033,"[-92.86147, 44.726517]",8.0,3.0,3.0,2.0,Minnesota
227,Hesperus Ski Area,https://www.skiresort.info/ski-resort/hesperus-ski-area/,39.0,Durango,Colorado,81326,"[-108.15728, 37.131282]",10.0,3.0,5.0,2.0,Colorado
228,Spring Mountain,https://www.skiresort.info/ski-resort/spring-mountain/,48.0,Schwenksville,Pennsylvania,19478,"[-75.4582, 40.276511]",8.5,4.0,2.5,2.0,Pennsylvania
229,Roundtop,https://www.skiresort.info/ski-resort/roundtop/,73.0,Lewisberry,Pennsylvania,17339,"[-76.86904, 40.138959]",7.5,1.5,3.0,3.0,Pennsylvania
230,Mt. La Crosse,https://www.skiresort.info/ski-resort/mt-la-crosse/,56.0,La Crosse,Wisconsin,54602,"[-91.167621, 43.907739]",7.0,1.5,3.0,2.5,Wisconsin
231,Sitzmark,https://www.skiresort.info/ski-resort/sitzmark/,45.0,Oroville,Washington State,98855,"[-119.32169, 48.689509]",7.5,2.0,3.0,2.5,Washington
232,Mt. Lemmon Ski Valley,https://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,47.0,Summerhaven,Arizona,85619,"[-110.75682, 32.441496]",8.5,2.5,4.0,2.0,Arizona
233,Laurel Mountain,https://www.skiresort.info/ski-resort/laurel-mountain/,64.0,Jennerstown,Pennsylvania,15531,"[-79.0629, 40.173782]",8.0,4.0,3.0,1.0,Pennsylvania
235,Black Mountain – Rumford,https://www.skiresort.info/ski-resort/black-mountain-rumford/,45.0,Rumford,Maine,04276,"[-70.56609, 44.53599]",8.0,2.0,3.5,2.5,Maine
236,Alpine Valley Resort – Elkhorn,https://www.skiresort.info/ski-resort/alpine-valley-resort-elkhorn/,66.0,Elkhorn,Wisconsin,53121,"[-88.54214, 42.711105]",4.0,1.5,1.5,1.0,Wisconsin
238,Cataloochee,https://www.skiresort.info/ski-resort/cataloochee/,70.0,Waynesville,North Carolina,28751,"[-83.085, 35.518138]",6.0,1.5,3.0,1.5,North Carolina
239,Las Vegas Ski and Snowboard Resort – Lee Canyon,https://www.skiresort.info/ski-resort/las-vegas-ski-and-snowboard-resort-lee-canyon/,72.0,Las Vegas,Nevada,89124,"[-115.39948, 36.101538]",7.3,0.3,5.0,2.0,Nevada
240,Hogadon Ski Area,https://www.skiresort.info/ski-resort/hogadon-ski-area/,,Casper,Wyoming,82601,"[-106.29799, 42.896822]",5.0,1.9,1.6,1.5,Wyoming
241,McCauly Mountain,https://www.skiresort.info/ski-resort/mccauly-mountain/,30.0,Old Forge,Central New York,13420,"[-74.94498, 43.707330999999996]",9.0,3.0,4.0,2.0,New York
242,Powder Ridge Mountain Park & Resort,https://www.skiresort.info/ski-resort/powder-ridge-mountain-park-resort/,49.0,Middlefield,Connecticut,06455,"[-72.7183, 41.514383]",5.5,2.5,2.0,1.0,Connecticut
243,Camden Snow Bowl,https://www.skiresort.info/ski-resort/camden-snow-bowl/,43.0,Camden,Maine,04843,"[-69.08184, 44.218159]",6.0,1.2,3.6,1.2,Maine
244,Mt. Southington,https://www.skiresort.info/ski-resort/mt-southington/,60.0,Southington,Connecticut,06489,"[-72.87103, 41.612298]",5.8,2.0,3.0,0.8,Connecticut
245,Snow Trails,https://www.skiresort.info/ski-resort/snow-trails/,52.0,Mansfield,Ohio,44901-1456,"[-82.511369, 40.850833]",5.3,1.5,2.8,1.0,Ohio
247,Wolf Ridge,https://www.skiresort.info/ski-resort/wolf-ridge/,65.0,Mars Hill,North Carolina,28754,"[-82.52043, 35.866763]",6.0,3.0,2.0,1.0,North Carolina
248,Alpine Valley – White Lake,https://www.skiresort.info/ski-resort/alpine-valley-white-lake/,58.0,White Lake,Michigan,48383,"[-83.54529, 42.657361]",5.8,2.4,1.6,1.8,Michigan
249,Hunt Hollow Ski Club,https://www.skiresort.info/ski-resort/hunt-hollow-ski-club/,58.0,Naples,Finger Lakes,14512-9287,"[-77.39457, 42.628515]",5.0,2.0,2.0,1.0,New York
250,Paoli Peaks,https://www.skiresort.info/ski-resort/paoli-peaks/,45.0,Paoli,Indiana,47454,"[-86.48362, 38.533167]",6.6,2.6,3.0,1.0,Indiana
251,Mad River Mountain,https://www.skiresort.info/ski-resort/mad-river-mountain/,49.0,Zanesfield,Ohio,43360,"[-83.66884, 40.327984]",6.3,3.0,2.0,1.3,Ohio
252,Crystal Mountain (MI),https://www.skiresort.info/ski-resort/crystal-mountain-mi/,79.0,Thompsonville,Michigan,49683,"[-85.9334, 44.531456]",4.9,1.2,2.3,1.4,Michigan
253,Nashoba Valley,https://www.skiresort.info/ski-resort/nashoba-valley/,58.0,Westford,Massachusetts,01886,"[-71.43754, 42.592086]",5.8,1.0,3.0,1.8,Massachusetts
254,Granite Gorge,https://www.skiresort.info/ski-resort/granite-gorge/,30.0,Keene,New Hampshire,03431,"[-72.28616, 42.946418]",6.0,3.0,2.0,1.0,New Hampshire
256,King Pine – Purity Spring Resort,https://www.skiresort.info/ski-resort/king-pine-purity-spring-resort/,58.0,East Madison,New Hampshire,03849,"[-71.14311, 43.930805]",5.3,2.8,1.5,1.0,New Hampshire
257,Pine Knob,https://www.skiresort.info/ski-resort/pine-knob/,57.0,Clarkston,Michigan,48348,"[-83.37805, 42.768373]",5.0,1.0,2.5,1.5,Michigan
258,Pajarito Mountain,https://www.skiresort.info/ski-resort/pajarito-mountain/,49.0,Los Alamos,New Mexico,87544,"[-106.29536, 35.86849]",26.0,8.0,12.0,6.0,New Mexico
260,Mount Pleasant,https://www.skiresort.info/ski-resort/mount-pleasant/,38.0,Cambridge Springs,Pennsylvania,16403,"[-80.02524, 41.79637]",5.0,2.0,2.0,1.0,Pennsylvania
261,Quechee Lakes Ski Area,https://www.skiresort.info/ski-resort/quechee-lakes-ski-area/,49.0,White River Junction,Vermont,05059,"[-72.42943, 43.649153]",5.0,2.0,2.5,0.5,Vermont
262,Mountain High North,https://www.skiresort.info/ski-resort/mountain-high-north/,84.0,Wrightwood,California,92397,"[-117.62752, 34.35876]",5.0,2.0,3.0,0.0,California
263,Hidden Valley (MO),https://www.skiresort.info/ski-resort/hidden-valley-mo/,49.0,Eureka,Missouri,63025,"[-90.61304, 38.494203]",4.0,1.0,2.0,1.0,Missouri
264,Mt. Brighton,https://www.skiresort.info/ski-resort/mt-brighton/,59.0,Brighton,Michigan,48116,"[-83.77718, 42.509476]",6.2,1.0,3.5,1.7,Michigan
265,Mount Peter,https://www.skiresort.info/ski-resort/mount-peter/,62.0,Warwick,Hudson Valley,10990,"[-74.35837, 41.259896]",3.8,1.0,2.0,0.8,New York
266,Nordic Mountain,https://www.skiresort.info/ski-resort/nordic-mountain/,47.0,Wild Rose,Wisconsin,54984,"[-89.20231, 44.186455]",6.5,2.0,3.0,1.5,Wisconsin
267,Seven Oaks,https://www.skiresort.info/ski-resort/seven-oaks/,40.0,Boone,Iowa,50036,"[-93.87437, 42.074515]",4.0,1.5,2.0,0.5,Iowa
268,Ober Gatlinburg,https://www.skiresort.info/ski-resort/ober-gatlinburg/,65.0,Gatlinburg,Tennessee,37738,"[-83.47156, 35.733627]",6.2,0.7,4.2,1.3,Tennessee
269,Wilmot Mountain,https://www.skiresort.info/ski-resort/wilmot-mountain/,68.0,Wilmot,Wisconsin,53192,"[-88.18285, 42.511818]",4.0,1.4,1.6,1.0,Wisconsin
271,Shanty Creek Resorts – Summit Mountain,https://www.skiresort.info/ski-resort/shanty-creek-resorts-summit-mountain/,73.0,Bellaire,Michigan,49615,"[-85.21448, 44.970267]",4.0,0.8,2.5,0.7,Michigan
273,Snowstar,https://www.skiresort.info/ski-resort/snowstar/,35.0,Andalusia,Illinois,61232,"[-90.71957, 41.440852]",4.0,0.5,1.5,2.0,Illinois
274,Mystic Mountain – Farmington,https://www.skiresort.info/ski-resort/mystic-mountain-farmington/,43.0,Farmington,Pennsylvania,15437,"[-79.59465, 39.793095]",3.9,2.3,1.0,0.6,Pennsylvania
275,Mt. Ashwabay – Salmo,https://www.skiresort.info/ski-resort/mt-ashwabay-salmo/,24.0,Salmo,Wisconsin,54814,"[-90.85401, 46.856701]",4.0,1.5,1.2,1.3,Wisconsin
276,Snow Creek,https://www.skiresort.info/ski-resort/snow-creek/,47.0,Weston,Missouri,64098,"[-94.89833, 39.445387]",3.2,1.3,1.8,0.1,Missouri
277,Antelope Butte,https://www.skiresort.info/ski-resort/antelope-butte/,20.0,Sheridan,Wyoming,82441,"[-107.67034, 44.632199]",20.0,4.0,10.0,6.0,Wyoming
278,Wild Mountain,https://www.skiresort.info/ski-resort/wild-mountain/,56.0,Taylors Falls,Minnesota,55084,"[-92.68321, 45.424065]",4.8,1.1,1.6,2.1,Minnesota
279,Powder Ridge,https://www.skiresort.info/ski-resort/powder-ridge/,48.0,Kimball,Minnesota,55353,"[-94.32528, 45.328802]",4.0,2.0,1.5,0.5,Minnesota
280,Treetops,https://www.skiresort.info/ski-resort/treetops/,,Gaylord,Michigan,49735,"[-84.67492, 44.989608]",4.4,0.3,1.9,2.2,Michigan
281,Lost Valley,https://www.skiresort.info/ski-resort/lost-valley/,55.0,Auburn,Maine,04210,"[-70.24143, 44.089173]",2.0,1.0,0.5,0.5,Maine
282,Summit Ski Area at Mt. Hood,https://www.skiresort.info/ski-resort/summit-ski-area-at-mt-hood/,36.0,Governemt Camp,Oregon,97028,"[-121.78441, 45.305113]",4.0,2.0,2.0,0.0,Oregon
284,Great Bear Ski Valley,https://www.skiresort.info/ski-resort/great-bear-ski-valley/,29.0,Sioux Falls,South Dakota,57105,"[-96.73297, 43.525226]",3.8,2.6,1.2,0.0,South Dakota
285,Dartmouth Skiway,https://www.skiresort.info/ski-resort/dartmouth-skiway/,50.0,Hanover,New Hampshire,03769,"[-72.120468, 43.786267]",16.0,4.0,8.0,4.0,New Hampshire
286,McIntyre,https://www.skiresort.info/ski-resort/mcintyre/,38.0,Manchester,New Hampshire,03104,"[-71.44716, 43.006033]",3.0,2.5,0.5,0.0,New Hampshire
288,Elko Snobowl,https://www.skiresort.info/ski-resort/elko-snobowl/,20.0,Elko,Nevada,89801,"[-115.75016, 40.883028]",3.0,1.5,1.5,0.0,Nevada
289,Little Switzerland,https://www.skiresort.info/ski-resort/little-switzerland/,46.0,Slinger,Wisconsin,53086,"[-88.27907, 43.33278]",3.0,1.1,1.3,0.6,Wisconsin
290,Chester Bowl,https://www.skiresort.info/ski-resort/chester-bowl/,15.0,Duluth,Minnesota,55812,"[-92.07319, 46.809438]",1.3,0.3,0.5,0.5,Minnesota
291,Blacktail Mountain,https://www.skiresort.info/ski-resort/blacktail-mountain/,42.0,Kalispell,Montana,59922,"[-114.24184, 48.005656]",17.0,3.0,11.0,3.0,Montana
292,Otis Ridge,https://www.skiresort.info/ski-resort/otis-ridge/,40.0,Otis,Massachusetts,01253,"[-73.10205, 42.198403]",3.7,1.2,1.5,1.0,Massachusetts
293,Turner Mountain,https://www.skiresort.info/ski-resort/turner-mountain/,38.0,Libby,Montana,59923,"[-115.3286, 48.309374]",13.8,2.1,5.5,6.2,Montana
294,Frost Fire Mountain,https://www.skiresort.info/ski-resort/frost-fire-mountain/,37.0,Walhalla,North Dakota,58282,"[-97.92312, 48.915739]",1.5,0.7,0.6,0.2,North Dakota
295,Sawmill Mountain Resort,https://www.skiresort.info/ski-resort/sawmill-mountain-resort/,44.0,Morris,Pennsylvania,16938,"[-77.31191, 41.564177]",4.4,0.9,2.5,1.0,Pennsylvania
296,Kendall Mountain – Silverton,https://www.skiresort.info/ski-resort/kendall-mountain-silverton/,25.0,Silverton,Colorado,81433,"[-107.62223, 37.868294]",1.7,1.0,0.5,0.2,Colorado
297,Blue Mountain,https://www.skiresort.info/ski-resort/blue-mountain/,65.0,Allentown,Pennsylvania,18071,"[-75.58537, 40.820558]",18.0,10.0,6.0,2.0,Pennsylvania
298,Mt. Holiday,https://www.skiresort.info/ski-resort/mt-holiday/,34.0,Traverse City,Michigan,49686,"[-85.54511, 44.735559]",4.5,1.0,2.0,1.5,Michigan
299,Howelsen Hill – Steamboat Springs,https://www.skiresort.info/ski-resort/howelsen-hill-steamboat-springs/,25.0,Steamboat Springs,Colorado,80487,"[-106.87521, 40.502772]",4.0,1.7,1.5,0.8,Colorado
300,Sunburst,https://www.skiresort.info/ski-resort/sunburst/,44.0,Kewaskum,Wisconsin,53040,"[-88.19215, 43.52413]",3.0,0.5,1.5,1.0,Wisconsin
301,Mt. Jefferson,https://www.skiresort.info/ski-resort/mt-jefferson/,25.0,Lee,Maine,04455,"[-68.29313, 45.333971]",9.5,3.0,4.0,2.5,Maine
302,Trollhaugen,https://www.skiresort.info/ski-resort/trollhaugen/,54.0,Dresser,Wisconsin,54009,"[-92.60246, 45.351585]",4.9,2.5,1.5,0.9,Wisconsin
303,Alpine Valley Ohio,https://www.skiresort.info/ski-resort/alpine-valley-ohio/,45.0,Chesterland,Ohio,44026,"[-81.33683, 41.526301]",2.6,1.2,1.2,0.2,Ohio
304,Echo Mountain Park – Idaho Springs,https://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,65.0,Idaho Springs,Colorado,80452-9526,"[-105.56054, 39.737369]",3.0,2.0,1.0,0.0,Colorado
305,Hyland Hills,https://www.skiresort.info/ski-resort/hyland-hills/,35.34,Bloomington,Minnesota,55441,"[-93.42421, 45.001997]",1.2,0.6,0.4,0.2,Minnesota
306,Elk Mountain,https://www.skiresort.info/ski-resort/elk-mountain/,69.0,Scranton,Pennsylvania,18470-9552,"[-75.5417, 41.722929]",15.0,3.0,8.0,4.0,Pennsylvania
307,Willard Mountain – Greenwich,https://www.skiresort.info/ski-resort/willard-mountain-greenwich/,47.0,Greenwich,Capital-Saratoga Region,12834,"[-73.50177, 43.095447]",2.8,0.6,1.4,0.8,New York
308,Christmas Mountain,https://www.skiresort.info/ski-resort/christmas-mountain/,45.0,Wisconsin Dells,Wisconsin,53965,"[-89.78104, 43.645603]",2.0,1.3,0.5,0.2,Wisconsin
309,Campton Mountain,https://www.skiresort.info/ski-resort/campton-mountain/,22.0,Campton,New Hampshire,03223,"[-71.65161, 43.887682]",1.3,0.6,0.5,0.2,New Hampshire
310,Mt. Abram,https://www.skiresort.info/ski-resort/mt-abram/,49.0,,Maine,04255,"[-70.67231, 44.35976]",14.5,3.5,7.0,4.0,Maine
311,Bald Mountain,https://www.skiresort.info/ski-resort/bald-mountain/,20.0,Lewiston,Idaho,83546,"[-115.82276, 46.525642]",9.0,3.0,4.0,2.0,Idaho
312,Snow Snake,https://www.skiresort.info/ski-resort/snow-snake/,35.0,Harrison,Michigan,48625,"[-84.83959, 44.052759]",3.0,1.0,1.5,0.5,Michigan
313,Tenney Mountain,https://www.skiresort.info/ski-resort/tenney-mountain/,59.0,Plymouth,New Hampshire,03264,"[-71.64503, 43.753837]",15.0,3.0,8.0,4.0,New Hampshire
314,Berkshire East,https://www.skiresort.info/ski-resort/berkshire-east/,72.0,Greenfield,Massachusetts,01339,"[-72.87939, 42.626858]",13.0,6.0,4.0,3.0,Massachusetts
315,Peek'n Peak,https://www.skiresort.info/ski-resort/peekn-peak/,63.0,Clymer,Chautauqua-Allegheny,14724,"[-79.66612, 42.066681]",15.0,4.0,8.0,3.0,New York
316,Heiliger Huegel – Hubertus,https://www.skiresort.info/ski-resort/heiliger-huegel-hubertus/,,Hubertus,Wisconsin,53033,"[-88.2396, 43.233282]",1.2,0.6,0.4,0.2,Wisconsin
317,Detroit Mountain,https://www.skiresort.info/ski-resort/detroit-mountain/,42.0,Detroit Lakes,Minnesota,56502,"[-95.678375, 46.933961]",2.0,1.0,1.0,0.0,Minnesota
318,Campgaw Mountain,https://www.skiresort.info/ski-resort/campgaw-mountain/,45.0,Mahwah,New Jersey,07430,"[-74.16147, 41.077102]",1.3,1.0,0.3,0.0,New Jersey
319,Bluewood,https://www.skiresort.info/ski-resort/bluewood/,47.0,Lewiston,Washington State,99328,"[-117.96887, 46.319087]",11.0,3.0,5.0,3.0,Washington
320,Hermon Mountain,https://www.skiresort.info/ski-resort/hermon-mountain/,,Bangor,Maine,04401,"[-68.78952, 44.81777]",3.0,2.0,0.5,0.5,Maine
321,The Balsams,https://www.skiresort.info/ski-resort/the-balsams/,,Colebrook,New Hampshire,03576,"[-71.44766, 44.893888]",12.6,3.4,4.0,5.2,New Hampshire
