,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len
40, Whitefish Mountain Resort ,https://www.skiresort.info/ski-resort/whitefish-mountain-resort/,85.0,Whitefish Mountain Village,Montana,91.0,18.0,46.0,27.0
41, Angel Fire ,https://www.skiresort.info/ski-resort/angel-fire/,79.0,Angel Fire,New Mexico,75.0,40.0,28.0,7.0
42, Wolf Creek ,https://www.skiresort.info/ski-resort/wolf-creek/,80.0,Pagosa Springs,Colorado,100.0,20.0,35.0,45.0
43, Sugarbush ,https://www.skiresort.info/ski-resort/sugarbush/,119.0,Warren,Vermont,85.0,17.0,38.0,30.0
44, Purgatory – Durango ,https://www.skiresort.info/ski-resort/purgatory-durango/,89.0,Durango,Colorado,85.0,15.0,40.0,30.0
45, Sugarloaf ,https://www.skiresort.info/ski-resort/sugarloaf/,119.0,Carrabassett Valley,Maine,87.0,20.0,30.0,37.0
46, Brighton ,https://www.skiresort.info/ski-resort/brighton/,97.0,Sandy,Salt Lake City,66.0,10.0,18.0,38.0
47, Okemo ,https://www.skiresort.info/ski-resort/okemo/,119.0,Ludlow,Vermont,70.0,22.0,26.0,22.0
48, Mt. Baker ,https://www.skiresort.info/ski-resort/mt-baker/,68.58,Glacier,Washington State,100.0,24.0,45.0,31.0
49, Bolton Valley ,https://www.skiresort.info/ski-resort/bolton-valley/,84.0,Burlington,Vermont,30.0,15.0,10.0,5.0
50, Jay Peak ,https://www.skiresort.info/ski-resort/jay-peak/,89.0,Jay,Vermont,76.0,15.0,31.0,30.0
51, Solitude ,https://www.skiresort.info/ski-resort/solitude/,125.0,Salt Lake City,Salt Lake City,64.0,20.0,30.0,14.0
52, Brian Head ,https://www.skiresort.info/ski-resort/brian-head/,59.0,Parowan,Utah,71.0,22.0,24.0,25.0
53, Bear Valley ,https://www.skiresort.info/ski-resort/bear-valley/,99.0,Bear Valley,California,67.0,17.0,27.0,23.0
54, Alyeska Resort – Girdwood ,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,89.0,Anchorage,Alaska,62.0,14.0,31.0,17.0
55, Bretton Woods ,https://www.skiresort.info/ski-resort/bretton-woods/,104.0,Twin Mountain,New Hampshire,56.0,25.0,16.0,15.0
56, Mount Snow ,https://www.skiresort.info/ski-resort/mount-snow/,110.0,West Dover,Vermont,60.0,6.0,46.0,8.0
57, Red Lodge Mountain ,https://www.skiresort.info/ski-resort/red-lodge-mountain/,84.0,Red Lodge,Montana,65.0,11.0,30.0,24.0
58, Smugglers' Notch ,https://www.skiresort.info/ski-resort/smugglers-notch/,90.0,Jeffersonville,Vermont,78.0,13.0,41.0,24.0
59, Bridger Bowl – Bozeman ,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,63.0,Bozeman,Montana,71.0,20.0,26.0,25.0
60, Bogus Basin ,https://www.skiresort.info/ski-resort/bogus-basin/,64.0,Boise,Idaho,50.0,11.0,22.0,17.0
61, Kirkwood ,https://www.skiresort.info/ski-resort/kirkwood/,119.0,Kirkwood,Lake Tahoe,65.0,15.0,30.0,20.0
62, Gore Mountain ,https://www.skiresort.info/ski-resort/gore-mountain/,94.0,North Creek,The Adirondacks,58.2,6.7,28.2,23.3
63, Sierra at Tahoe ,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,115.0,South Lake Tahoe,Lake Tahoe,46.5,12.0,23.0,11.5
64, Crystal Mountain (WA) ,https://www.skiresort.info/ski-resort/crystal-mountain-wa/,149.0,Enumclaw,Washington State,50.0,8.0,27.0,15.0
65, 49 Degrees North Mountain Resort ,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,62.0,Chewelah,Washington State,68.0,20.0,27.0,21.0
66, Timberline ,https://www.skiresort.info/ski-resort/timberline/,89.0,Welches,Oregon,31.0,8.0,15.0,8.0
67, Snowbasin ,https://www.skiresort.info/ski-resort/snowbasin/,135.0,Huntsville (Utah),Utah,48.0,5.0,28.0,15.0
